vial,participant,sample
A6,2675,01A
A6,2675,01A
A6,2675,01A
A6,2675,01A
A6,2675,01A
A6,2675,01A
A6,2675,01A
A6,2675,01A
A6,2675,01A
A6,2675,10A
A6,2675,10A
A6,2675,10A
A6,2675,10A
A6,2675,10A
A6,2675,10A
A6,2675,11A
A6,2675,11A
A6,2675,11A
A6,2675,11A
A6,2675,11A
A6,2675,11A
A6,2675,11A
A6,5667,01A
A6,5667,01A
A6,5667,01A
A6,5667,01A
A6,5667,01A
A6,5667,01A
A6,5667,01A
A6,5667,01A
A6,5667,10A
A6,5667,10A
A6,5667,10A
A6,5667,10A
A6,5667,10A
A6,5667,11A
A6,5667,11A
A6,5667,11A
A6,5667,11A
A6,5667,11A
A6,5667,11A
A6,5667,11A
AA,3655,01A
AA,3655,01A
AA,3655,01A
AA,3655,01A
AA,3655,01A
AA,3655,01A
AA,3655,01A
AA,3655,01A
AA,3655,11A
AA,3655,11A
AA,3655,11A
AA,3655,11A
AA,3655,11A
AA,3655,11A
AA,3655,11A
AA,3660,01A
AA,3660,01A
AA,3660,01A
AA,3660,01A
AA,3660,01A
AA,3660,01A
AA,3660,01A
AA,3660,01A
AA,3660,11A
AA,3660,11A
AA,3660,11A
AA,3660,11A
AA,3660,11A
AA,3660,11A
AA,3660,11A
AA,3662,01A
AA,3662,01A
AA,3662,01A
AA,3662,01A
AA,3662,01A
AA,3662,01A
AA,3662,01A
AA,3662,01A
AA,3662,11A
AA,3662,11A
AA,3662,11A
AA,3662,11A
AA,3662,11A
AA,3662,11A
AA,3662,11A
AA,3663,01A
AA,3663,01A
AA,3663,01A
AA,3663,01A
AA,3663,01A
AA,3663,01A
AA,3663,01A
AA,3663,01A
AA,3663,11A
AA,3663,11A
AA,3663,11A
AA,3663,11A
AA,3663,11A
AA,3663,11A
AA,3663,11A
AA,3697,01A
AA,3697,01A
AA,3697,01A
AA,3697,01A
AA,3697,01A
AA,3697,01A
AA,3697,01A
AA,3697,01A
AA,3697,11A
AA,3697,11A
AA,3697,11A
AA,3697,11A
AA,3697,11A
AA,3697,11A
AA,3697,11A
AA,3712,01A
AA,3712,01A
AA,3712,01A
AA,3712,01A
AA,3712,01A
AA,3712,01A
AA,3712,01A
AA,3712,01A
AA,3712,11A
AA,3712,11A
AA,3712,11A
AA,3712,11A
AA,3712,11A
AA,3712,11A
AA,3712,11A
AA,3713,01A
AA,3713,01A
AA,3713,01A
AA,3713,01A
AA,3713,01A
AA,3713,01A
AA,3713,01A
AA,3713,01A
AA,3713,11A
AA,3713,11A
AA,3713,11A
AA,3713,11A
AA,3713,11A
AA,3713,11A
AA,3713,11A
AU,3779,01A
AU,3779,01A
AU,3779,01A
AU,3779,01A
AU,3779,01A
AU,3779,01A
AU,3779,01A
AU,3779,10A
AU,3779,10A
AU,3779,10A
AU,3779,10A
AU,6004,01A
AU,6004,01A
AU,6004,01A
AU,6004,01A
AU,6004,01A
AU,6004,01A
AU,6004,01A
AU,6004,01A
AU,6004,10A
AU,6004,10A
AU,6004,10A
AU,6004,10A
AU,6004,10A
AY,6196,01A
AY,6196,01A
AY,6196,01A
AY,6196,01A
AY,6196,01A
AY,6196,01A
AY,6196,01A
AY,6196,01A
AY,6196,10A
AY,6196,10A
AY,6196,10A
AY,6196,10A
AY,6196,10A
AY,6197,01A
AY,6197,01A
AY,6197,01A
AY,6197,01A
AY,6197,01A
AY,6197,01A
AY,6197,01A
AY,6197,01A
AY,6197,10A
AY,6197,10A
AY,6197,10A
AY,6197,10A
AY,6197,10A
AY,6386,01A
AY,6386,01A
AY,6386,01A
AY,6386,01A
AY,6386,01A
AY,6386,01A
AY,6386,01A
AY,6386,01A
AY,6386,01A
AY,6386,10A
AY,6386,10A
AY,6386,10A
AY,6386,10A
AY,6386,10A
AY,6386,10A
AZ,5407,01A
AZ,5407,01A
AZ,5407,01A
AZ,5407,01A
AZ,5407,01A
AZ,5407,01A
AZ,5407,01A
AZ,5407,01A
AZ,5407,10A
AZ,5407,10A
AZ,5407,10A
AZ,5407,10A
AZ,5407,10A
CK,4950,01A
CK,4950,01A
CK,4950,01A
CK,4950,01A
CK,4950,01A
CK,4950,01A
CK,4950,01A
CK,4950,01A
CK,4950,10A
CK,4950,10A
CK,4950,10A
CK,4950,10A
CK,4950,10A
CK,4952,01A
CK,4952,01A
CK,4952,01A
CK,4952,01A
CK,4952,01A
CK,4952,01A
CK,4952,01A
CK,4952,01A
CK,4952,10A
CK,4952,10A
CK,4952,10A
CK,4952,10A
CK,4952,10A
CM,4743,01A
CM,4743,01A
CM,4743,01A
CM,4743,01A
CM,4743,01A
CM,4743,01A
CM,4743,01A
CM,4743,01A
CM,4743,10A
CM,4743,10A
CM,4743,10A
CM,4743,10A
CM,4743,10A
CM,5344,01A
CM,5344,01A
CM,5344,01A
CM,5344,01A
CM,5344,01A
CM,5344,01A
CM,5344,01A
CM,5344,01A
CM,5344,10A
CM,5344,10A
CM,5344,10A
CM,5344,10A
CM,5344,10A
CM,5348,01A
CM,5348,01A
CM,5348,01A
CM,5348,01A
CM,5348,01A
CM,5348,01A
CM,5348,01A
CM,5348,01A
CM,5348,10A
CM,5348,10A
CM,5348,10A
CM,5348,10A
CM,5348,10A
CM,5349,01A
CM,5349,01A
CM,5349,01A
CM,5349,01A
CM,5349,01A
CM,5349,01A
CM,5349,01A
CM,5349,01A
CM,5349,10A
CM,5349,10A
CM,5349,10A
CM,5349,10A
CM,5349,10A
D5,6530,01A
D5,6530,01A
D5,6530,01A
D5,6530,01A
D5,6530,01A
D5,6530,01A
D5,6530,01A
D5,6530,01A
D5,6530,10A
D5,6530,10A
D5,6530,10A
D5,6530,10A
D5,6530,10A
D5,6531,01A
D5,6531,01A
D5,6531,01A
D5,6531,01A
D5,6531,01A
D5,6531,01A
D5,6531,01A
D5,6531,01A
D5,6531,10A
D5,6531,10A
D5,6531,10A
D5,6531,10A
D5,6531,10A
D5,6532,01A
D5,6532,01A
D5,6532,01A
D5,6532,01A
D5,6532,01A
D5,6532,01A
D5,6532,01A
D5,6532,01A
D5,6532,10A
D5,6532,10A
D5,6532,10A
D5,6532,10A
D5,6532,10A
D5,6533,01A
D5,6533,01A
D5,6533,01A
D5,6533,01A
D5,6533,01A
D5,6533,01A
D5,6533,01A
D5,6533,01A
D5,6533,10A
D5,6533,10A
D5,6533,10A
D5,6533,10A
D5,6533,10A
D5,6535,01A
D5,6535,01A
D5,6535,01A
D5,6535,01A
D5,6535,01A
D5,6535,01A
D5,6535,01A
D5,6535,01A
D5,6535,10A
D5,6535,10A
D5,6535,10A
D5,6535,10A
D5,6535,10A
D5,6536,01A
D5,6536,01A
D5,6536,01A
D5,6536,01A
D5,6536,01A
D5,6536,01A
D5,6536,01A
D5,6536,01A
D5,6536,10A
D5,6536,10A
D5,6536,10A
D5,6536,10A
D5,6536,10A
D5,6537,01A
D5,6537,01A
D5,6537,01A
D5,6537,01A
D5,6537,01A
D5,6537,01A
D5,6537,01A
D5,6537,01A
D5,6537,10A
D5,6537,10A
D5,6537,10A
D5,6537,10A
D5,6537,10A
D5,6538,01A
D5,6538,01A
D5,6538,01A
D5,6538,01A
D5,6538,01A
D5,6538,01A
D5,6538,01A
D5,6538,01A
D5,6538,10A
D5,6538,10A
D5,6538,10A
D5,6538,10A
D5,6538,10A
D5,6539,01A
D5,6539,01A
D5,6539,01A
D5,6539,01A
D5,6539,01A
D5,6539,01A
D5,6539,01A
D5,6539,01A
D5,6539,10A
D5,6539,10A
D5,6539,10A
D5,6539,10A
D5,6539,10A
D5,6540,01A
D5,6540,01A
D5,6540,01A
D5,6540,01A
D5,6540,01A
D5,6540,01A
D5,6540,01A
D5,6540,01A
D5,6540,10A
D5,6540,10A
D5,6540,10A
D5,6540,10A
D5,6540,10A
D5,6541,01A
D5,6541,01A
D5,6541,01A
D5,6541,01A
D5,6541,01A
D5,6541,01A
D5,6541,01A
D5,6541,01A
D5,6541,10A
D5,6541,10A
D5,6541,10A
D5,6541,10A
D5,6541,10A
F4,6463,01A
F4,6463,01A
F4,6463,01A
F4,6463,01A
F4,6463,01A
F4,6463,01A
F4,6463,01A
F4,6463,01A
F4,6463,10A
F4,6463,10A
F4,6463,10A
F4,6463,10A
F4,6463,10A
G4,6293,01A
G4,6293,01A
G4,6293,01A
G4,6293,01A
G4,6293,01A
G4,6293,01A
G4,6293,01A
G4,6293,01A
G4,6293,10A
G4,6293,10A
G4,6293,10A
G4,6293,10A
G4,6293,10A
G4,6295,01A
G4,6295,01A
G4,6295,01A
G4,6295,01A
G4,6295,01A
G4,6295,01A
G4,6295,01A
G4,6295,01A
G4,6295,10A
G4,6295,10A
G4,6295,10A
G4,6295,10A
G4,6295,10A
G4,6295,11A
G4,6295,11A
G4,6295,11A
G4,6295,11A
G4,6295,11A
G4,6295,11A
G4,6297,01A
G4,6297,01A
G4,6297,01A
G4,6297,01A
G4,6297,01A
G4,6297,01A
G4,6297,01A
G4,6297,01A
G4,6297,10A
G4,6297,10A
G4,6297,10A
G4,6297,10A
G4,6297,10A
G4,6297,11A
G4,6297,11A
G4,6297,11A
G4,6297,11A
G4,6297,11A
G4,6297,11A
G4,6298,01A
G4,6298,01A
G4,6298,01A
G4,6298,01A
G4,6298,01A
G4,6298,01A
G4,6298,01A
G4,6298,01A
G4,6298,10A
G4,6298,10A
G4,6298,10A
G4,6298,10A
G4,6298,10A
G4,6298,11A
G4,6298,11A
G4,6298,11A
G4,6298,11A
G4,6298,11A
G4,6298,11A
G4,6302,01A
G4,6302,01A
G4,6302,01A
G4,6302,01A
G4,6302,01A
G4,6302,01A
G4,6302,01A
G4,6302,01A
G4,6302,10A
G4,6302,10A
G4,6302,10A
G4,6302,10A
G4,6302,10A
G4,6302,11A
G4,6302,11A
G4,6302,11A
G4,6302,11A
G4,6302,11A
G4,6302,11A
G4,6307,01A
G4,6307,01A
G4,6307,01A
G4,6307,01A
G4,6307,01A
G4,6307,01A
G4,6307,01A
G4,6307,01A
G4,6307,10A
G4,6307,10A
G4,6307,10A
G4,6307,10A
G4,6307,10A
G4,6310,01A
G4,6310,01A
G4,6310,01A
G4,6310,01A
G4,6310,01A
G4,6310,01A
G4,6310,01A
G4,6310,01A
G4,6310,10A
G4,6310,10A
G4,6310,10A
G4,6310,10A
G4,6310,10A
G4,6311,01A
G4,6311,01A
G4,6311,01A
G4,6311,01A
G4,6311,01A
G4,6311,01A
G4,6311,01A
G4,6311,01A
G4,6311,10A
G4,6311,10A
G4,6311,10A
G4,6311,10A
G4,6311,10A
G4,6311,11A
G4,6311,11A
G4,6311,11A
G4,6311,11A
G4,6311,11A
G4,6311,11A
G4,6314,01A
G4,6314,01A
G4,6314,01A
G4,6314,01A
G4,6314,01A
G4,6314,01A
G4,6314,01A
G4,6314,01A
G4,6314,10A
G4,6314,10A
G4,6314,10A
G4,6314,10A
G4,6314,11A
G4,6314,11A
G4,6314,11A
G4,6314,11A
G4,6314,11A
G4,6314,11A
G4,6315,01A
G4,6315,01A
G4,6315,01A
G4,6315,01A
G4,6315,01A
G4,6315,01A
G4,6315,01A
G4,6315,01A
G4,6315,10A
G4,6315,10A
G4,6315,10A
G4,6315,10A
G4,6315,10A
G4,6317,01A
G4,6317,01A
G4,6317,01A
G4,6317,01A
G4,6317,01A
G4,6317,01A
G4,6317,01A
G4,6317,01A
G4,6317,02A
G4,6317,02A
G4,6317,02A
G4,6317,02A
G4,6317,02A
G4,6317,02A
G4,6317,10A
G4,6317,10A
G4,6317,10A
G4,6317,10A
G4,6320,01A
G4,6320,01A
G4,6320,01A
G4,6320,01A
G4,6320,01A
G4,6320,01A
G4,6320,01A
G4,6320,01A
G4,6320,10A
G4,6320,10A
G4,6320,10A
G4,6320,10A
G4,6320,10A
G4,6320,11A
G4,6320,11A
G4,6320,11A
G4,6320,11A
G4,6320,11A
G4,6320,11A
G4,6321,01A
G4,6321,01A
G4,6321,01A
G4,6321,01A
G4,6321,01A
G4,6321,01A
G4,6321,01A
G4,6321,01A
G4,6321,10A
G4,6321,10A
G4,6321,10A
G4,6321,10A
G4,6321,10A
G4,6322,01A
G4,6322,01A
G4,6322,01A
G4,6322,01A
G4,6322,01A
G4,6322,01A
G4,6322,01A
G4,6322,01A
G4,6322,10A
G4,6322,10A
G4,6322,10A
G4,6322,10A
G4,6322,10A
G4,6322,11A
G4,6322,11A
G4,6322,11A
G4,6322,11A
G4,6322,11A
G4,6322,11A
G4,6323,01A
G4,6323,01A
G4,6323,01A
G4,6323,01A
G4,6323,01A
G4,6323,01A
G4,6323,01A
G4,6323,01A
G4,6323,10A
G4,6323,10A
G4,6323,10A
G4,6323,10A
G4,6323,10A
A6,4105,01A
A6,4105,01A
A6,4105,01A
A6,4105,01A
A6,4105,01A
A6,4105,01A
A6,4105,01A
A6,4105,01A
A6,4105,01A
A6,4105,10A
A6,4105,10A
A6,4105,10A
A6,4105,10A
A6,4105,10A
A6,4105,10A
A6,6137,01A
A6,6137,01A
A6,6137,01A
A6,6137,01A
A6,6137,01A
A6,6137,01A
A6,6137,01A
A6,6137,01A
A6,6137,10A
A6,6137,10A
A6,6137,10A
A6,6137,10A
A6,6137,10A
A6,6137,10A
A6,6138,01A
A6,6138,01A
A6,6138,01A
A6,6138,01A
A6,6138,01A
A6,6138,01A
A6,6138,01A
A6,6138,01A
A6,6138,10A
A6,6138,10A
A6,6138,10A
A6,6138,10A
A6,6138,10A
A6,6140,01A
A6,6140,01A
A6,6140,01A
A6,6140,01A
A6,6140,01A
A6,6140,01A
A6,6140,01A
A6,6140,01A
A6,6140,10A
A6,6140,10A
A6,6140,10A
A6,6140,10A
A6,6140,10A
A6,6141,01A
A6,6141,01A
A6,6141,01A
A6,6141,01A
A6,6141,01A
A6,6141,01A
A6,6141,01A
A6,6141,01A
A6,6141,10A
A6,6141,10A
A6,6141,10A
A6,6141,10A
A6,6141,10A
A6,6142,01A
A6,6142,01A
A6,6142,01A
A6,6142,01A
A6,6142,01A
A6,6142,01A
A6,6142,01A
A6,6142,01A
A6,6142,10A
A6,6142,10A
A6,6142,10A
A6,6142,10A
A6,6142,10A
A6,6648,01A
A6,6648,01A
A6,6648,01A
A6,6648,01A
A6,6648,01A
A6,6648,01A
A6,6648,01A
A6,6648,01A
A6,6648,10A
A6,6648,10A
A6,6648,10A
A6,6648,10A
A6,6648,10A
A6,6649,01A
A6,6649,01A
A6,6649,01A
A6,6649,01A
A6,6649,01A
A6,6649,01A
A6,6649,01A
A6,6649,01A
A6,6649,10A
A6,6649,10A
A6,6649,10A
A6,6649,10A
A6,6649,10A
A6,6650,01A
A6,6650,01A
A6,6650,01A
A6,6650,01A
A6,6650,01A
A6,6650,01A
A6,6650,01A
A6,6650,01A
A6,6650,01A
A6,6650,01A
A6,6650,01A
A6,6650,01A
A6,6650,01A
A6,6650,01A
A6,6650,01B
A6,6650,01B
A6,6650,01B
A6,6650,01B
A6,6650,01B
A6,6650,01B
A6,6650,10A
A6,6650,10A
A6,6650,10A
A6,6650,10A
A6,6650,10A
A6,6650,10A
A6,6650,10A
A6,6650,10A
A6,6652,01A
A6,6652,01A
A6,6652,01A
A6,6652,01A
A6,6652,01A
A6,6652,01A
A6,6652,01A
A6,6652,01A
A6,6652,10A
A6,6652,10A
A6,6652,10A
A6,6652,10A
A6,6652,10A
A6,6653,01A
A6,6653,01A
A6,6653,01A
A6,6653,01A
A6,6653,01A
A6,6653,01A
A6,6653,01A
A6,6653,01A
A6,6653,10A
A6,6653,10A
A6,6653,10A
A6,6653,10A
A6,6653,10A
AZ,6598,01A
AZ,6598,01A
AZ,6598,01A
AZ,6598,01A
AZ,6598,01A
AZ,6598,01A
AZ,6598,01A
AZ,6598,01A
AZ,6598,11A
AZ,6598,11A
AZ,6598,11A
AZ,6598,11A
AZ,6598,11A
AZ,6598,11A
AZ,6598,11A
AZ,6599,01A
AZ,6599,01A
AZ,6599,01A
AZ,6599,01A
AZ,6599,01A
AZ,6599,01A
AZ,6599,01A
AZ,6599,01A
AZ,6599,11A
AZ,6599,11A
AZ,6599,11A
AZ,6599,11A
AZ,6599,11A
AZ,6599,11A
AZ,6599,11A
AZ,6600,01A
AZ,6600,01A
AZ,6600,01A
AZ,6600,01A
AZ,6600,01A
AZ,6600,01A
AZ,6600,01A
AZ,6600,01A
AZ,6600,11A
AZ,6600,11A
AZ,6600,11A
AZ,6600,11A
AZ,6600,11A
AZ,6600,11A
AZ,6600,11A
AZ,6601,01A
AZ,6601,01A
AZ,6601,01A
AZ,6601,01A
AZ,6601,01A
AZ,6601,01A
AZ,6601,01A
AZ,6601,01A
AZ,6601,11A
AZ,6601,11A
AZ,6601,11A
AZ,6601,11A
AZ,6601,11A
AZ,6601,11A
AZ,6601,11A
D5,6529,01A
D5,6529,01A
D5,6529,01A
D5,6529,01A
D5,6529,01A
D5,6529,01A
D5,6529,01A
D5,6529,01A
D5,6529,10A
D5,6529,10A
D5,6529,10A
D5,6529,10A
D5,6529,10A
F4,6459,01A
F4,6459,01A
F4,6459,01A
F4,6459,01A
F4,6459,01A
F4,6459,01A
F4,6459,01A
F4,6459,01A
F4,6459,10A
F4,6459,10A
F4,6459,10A
F4,6459,10A
F4,6459,10A
F4,6460,01A
F4,6460,01A
F4,6460,01A
F4,6460,01A
F4,6460,01A
F4,6460,01A
F4,6460,01A
F4,6460,01A
F4,6460,10B
F4,6460,10B
F4,6460,10B
F4,6460,10B
F4,6460,10B
F4,6461,01A
F4,6461,01A
