miRNA ID	cancer	effect	year	source
hsa-let-7g	colorectal cancer	up-regulated	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-1	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-106a	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-106b	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-10b	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-125a	colorectal cancer	down-regulated	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-125a	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-130b	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-132	colorectal cancer	up-regulated	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-133a	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-133b	colorectal cancer	down-regulated	2006	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
hsa-miR-135b	colorectal cancer	up-regulated	2006	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
hsa-miR-139	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-140	colorectal cancer	down-regulated	2009	Mechanism of chemoresistance mediated by miR-140 in human osteosarcoma and colon cancer cells
hsa-miR-141	colorectal cancer	down-regulated	2009	MicroRNA-141 Regulates Smad Interacting Protein 1 (SIP1) and Inhibits Migration and Invasion of Colorectal Cancer Cells
hsa-miR-143	colorectal cancer	down-regulated	2009	MicroRNA-143 reduces viability and increases sensitivity to 5-fluorouracil in HCT116 human colorectal cancer cells
hsa-miR-143	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-145	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-17-5p	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-181b	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-182	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-183	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-18a	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-195	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-19a	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-19a	colorectal cancer	up-regulated	2006	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
hsa-miR-19b	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-200a	cancer	down-regulated	2008	The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors ZEB1 and ZEB2.
hsa-miR-200b	cancer	down-regulated	2008	The miR-200 family inhibits epithelial-mesenchymal transition and cancer cell migration by direct targeting of E-cadherin transcriptional repressors ZEB1 and ZEB2.
hsa-miR-203	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-20a	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-21	colorectal cancer	up-regulated	2009	Association of inflammation-related and microRNA gene expression with cancer-specific mortality of colon adenocarcinoma
hsa-miR-21	colorectal cancer	up-regulated	2009	microRNA-21 negatively regulates Cdc25A and cell cycle progression in colon cancer cells
hsa-miR-21	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-224	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-24-1	colorectal cancer	up-regulated	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-24-2	colorectal cancer	up-regulated	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-25	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-25	colorectal cancer	down-regulated	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-29a	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-29b	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-30a-3p	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-30a-3p	colorectal cancer	up-regulated	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-30a-3p	colorectal cancer	down-regulated	2006	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
hsa-miR-30a-5p	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-30a-5p	colorectal cancer	up-regulated	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-30c	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-31	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-31	colorectal cancer	up-regulated	2006	Identification by Real-time PCR of 13 mature microRNAs differentially expressed in colorectal cancer and non-tumoral tissues.
hsa-miR-31	colorectal cancer	up-regulated	2007	"Altered expression of miR-21, miR-31, miR-143 and miR-145 is related to clinicopathologic features of colorectal cancer."
hsa-miR-32	colorectal cancer	up-regulated	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-34a	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-378*	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-422a	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-422b	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-497	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-7-3	colorectal cancer	up-regulated	2005	Real-time expression profiling of microRNA precursors in human cancer cell lines.
hsa-miR-93	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-95	colorectal cancer	down-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
hsa-miR-96	colorectal cancer	up-regulated	2009	Characterization of global microRNA expression reveals oncogenic potential of miR-145 in metastatic colorectal cancer
