E2F1 	hsa-miR-149-3p
E2F1 	hsa-miR-20a-5p
ERBB2IP 	hsa-miR-200c-3p
ERBB2IP 	hsa-miR-141-3p
ZEB2 	hsa-miR-200c-3p
ZEB2 	hsa-miR-141-3p
E2F1 	hsa-miR-20a-5p
BMI1 	hsa-miR-200c-3p
MET 	hsa-miR-340-5p
E2F1 	hsa-miR-223-3p
NFIX 	hsa-miR-223-3p
EN2 	hsa-miR-15b-5p
CMTM3 	hsa-miR-15b-5p
C16orf72 	hsa-miR-15b-5p
ARHGAP11A 	hsa-miR-181c-5p
ARHGAP11A 	hsa-miR-15b-5p
ARHGAP11A 	hsa-miR-340-5p
SH3PXD2A 	hsa-miR-20a-5p
GPR137B 	hsa-miR-20a-5p
ATF2 	hsa-miR-340-5p
SAR1B 	hsa-miR-15b-5p
CDK4 	hsa-miR-423-3p
TCERG1 	hsa-miR-340-5p
ZIC2 	hsa-miR-96-5p
ZIC2 	hsa-miR-181c-5p
ZIC2 	hsa-miR-27b-3p
C1orf43 	hsa-miR-181c-5p
C1orf43 	hsa-miR-27b-3p
TPD52 	hsa-miR-20a-5p
FUNDC2 	hsa-miR-340-5p
CEP97 	hsa-miR-20a-5p
CEP97 	hsa-miR-181c-5p
FBXL5 	hsa-miR-20a-5p
CIC 	hsa-miR-20a-5p
ZBTB39 	hsa-miR-27b-3p
CCNB1 	hsa-miR-20a-5p
CCNB1 	hsa-miR-96-5p
RPL17 	hsa-miR-27b-3p
RRAGD 	hsa-miR-20a-5p
SLC4A1AP 	hsa-miR-769-5p
SLC4A1AP 	hsa-miR-20a-5p
TROVE2 	hsa-miR-27b-3p
OAZ1 	hsa-miR-181c-5p
FEM1B 	hsa-miR-20a-5p
FEM1B 	hsa-miR-340-5p
PLP2 	hsa-miR-615-3p
TCEB3 	hsa-miR-423-3p
DNAJA1 	hsa-miR-15b-5p
E2F1 	hsa-miR-769-5p
G3BP1 	hsa-miR-181c-5p
KIAA0494 	hsa-miR-20a-5p
KIAA0494 	hsa-miR-340-5p
UTP15 	hsa-miR-340-5p
TNPO1 	hsa-miR-181c-5p
TNPO1 	hsa-miR-27b-3p
HOXA10 	hsa-miR-181c-5p
HOXA10 	hsa-miR-340-5p
PCNA 	hsa-miR-20a-5p
SCAMP2 	hsa-miR-181c-5p
PTPN3 	hsa-miR-615-3p
TSC1 	hsa-miR-27b-3p
MFAP3 	hsa-miR-181c-5p
TRA2B 	hsa-miR-20a-5p
SLC15A4 	hsa-miR-20a-5p
SLC15A4 	hsa-miR-15b-5p
SLC15A4 	hsa-miR-27b-3p
SOX4 	hsa-miR-769-5p
SOX4 	hsa-miR-96-5p
SOX4 	hsa-miR-340-5p
GPR63 	hsa-miR-20a-5p
FAM120A 	hsa-miR-15b-5p
RNF44 	hsa-miR-340-5p
GSK3B 	hsa-miR-615-3p
BICD2 	hsa-miR-20a-5p
ZMAT3 	hsa-miR-15b-5p
