"pathway","escore","pathwaySize","overlap","overlapList","keep","isSignificant"
"REACTOME_P38MAPK_EVENTS",0.00194883015602909,13,1,"RALGDS",1,0
"BIOCARTA_RAS_PATHWAY",0.00344620613868973,23,1,"RALGDS",1,0
"REACTOME_SIGNALLING_TO_RAS",0.00404473693081586,27,1,"RALGDS",1,0
"REACTOME_SIGNALLING_TO_ERKS",0.00539055488327955,36,1,"RALGDS",1,0
"PID_ERBB2ERBB3PATHWAY",0.0065858192249546,44,1,"NF2",1,0
"KEGG_COLORECTAL_CANCER",0.00927166195093432,62,1,"RALGDS",1,0
"KEGG_PANCREATIC_CANCER",0.0104638142498183,70,1,"RALGDS",1,0
"PID_ERBB1_DOWNSTREAM_PATHWAY",0.0156682365208868,105,1,"RALGDS",1,0
"REACTOME_NGF_SIGNALLING_VIA_TRKA_FROM_THE_PLASMA_MEMBRANE",0.0204105674748183,137,1,"RALGDS",1,0
"REACTOME_SIGNALLING_BY_NGF",0.0321997022960955,217,1,"RALGDS",1,0
