"geneName","comm","degree","geneset","leftovers","isCandidate"
"BAG5",1,1,"Stage_2",0,0
"CKAP4",1,4,"Stage_2",0,0
"CNKSR1",1,3,"Stage_2",0,1
"DNMT3A",1,1,"Stage_2",0,0
"EFEMP1",1,1,"Stage_2",0,1
"ERRFI1",1,2,"Stage_2",0,0
"HIPK3",1,2,"Stage_2",0,0
"LRP1B",1,5,"Stage_2",0,0
"LRPAP1",1,4,"Stage_2",0,1
"MAPK7",1,5,"Stage_2",0,0
"MYC",1,13,"Stage_2",0,1
"PLAT",1,2,"Stage_2",0,1
"RAF1",1,21,"Stage_2",0,0
"RALGDS",1,4,"Stage_2",0,0
"RASSF1",1,2,"Stage_2",0,0
"SASH1",1,3,"Stage_2",0,0
"SLC47A1",1,1,"Stage_2",0,1
"TFAP2A",1,3,"Stage_2",0,0
"TPM3",1,7,"Stage_2",0,1
"CFD",2,2,"Stage_2",0,1
"COL2A1",2,4,"Stage_2",0,1
"COL4A6",2,1,"Stage_2",0,1
"COL6A2",2,1,"Stage_2",0,1
"FEM1C",2,2,"Stage_2",0,1
"FN1",2,13,"Stage_2",0,0
"FST",2,1,"Stage_2",0,1
"ICAM2",2,2,"Stage_2",0,1
"IGLL1",2,1,"Stage_2",0,1
"ITGA1",2,1,"Stage_2",0,0
"ITGA11",2,1,"Stage_2",0,1
"ITGAL",2,4,"Stage_2",0,1
"MATN1",2,2,"Stage_2",0,1
"MSN",2,2,"Stage_2",0,0
"PKD1",2,2,"Stage_2",0,0
"PPM1F",2,2,"Stage_2",0,0
"RANBP9",2,7,"Stage_2",0,0
"RAP2C",2,1,"Stage_2",0,0
"RASSF5",2,2,"Stage_2",0,1
"SH3BP5",2,2,"Stage_2",0,1
"TCEB1",2,6,"Stage_2",0,0
"TGFBI",2,3,"Stage_2",0,1
"TNFRSF11B",2,1,"Stage_2",0,1
"AFF3",3,1,"Stage_2",0,0
"ANK3",3,3,"Stage_2",0,0
"ASNS",3,3,"Stage_2",0,1
"CRKL",3,7,"Stage_2",0,0
"CSNK1G3",3,2,"Stage_2",0,0
"ENO3",3,2,"Stage_2",0,1
"ETV6",3,1,"Stage_2",0,0
"MAP4K5",3,3,"Stage_2",0,0
"MIB2",3,3,"Stage_2",0,0
"RQCD1",3,2,"Stage_2",0,0
"SEC23A",3,3,"Stage_2",0,0
"WIPF1",3,5,"Stage_2",0,0
"GPC1",4,1,"Stage_2",0,1
"GTF3C4",4,6,"Stage_2",0,0
"NDUFA4",4,1,"Stage_2",0,0
"NDUFA5",4,6,"Stage_2",0,1
"P4HA1",4,5,"Stage_2",0,1
"SIP1",4,1,"Stage_2",0,0
"SLIT2",4,9,"Stage_2",0,0
"ANXA6",5,6,"Stage_2",0,1
"CFL2",5,5,"Stage_2",0,0
"EPS8",5,2,"Stage_2",0,0
"FABP5",5,1,"Stage_2",0,1
"GMFB",5,5,"Stage_2",0,0
"MAP2",5,5,"Stage_2",0,0
"MARCKS",5,4,"Stage_2",0,0
"MPRIP",5,11,"Stage_2",0,0
"NIN",5,3,"Stage_2",0,0
"TMOD3",5,7,"Stage_2",0,0
"TOB1",5,3,"Stage_2",0,0
"TPD52",5,4,"Stage_2",0,1
"UACA",5,5,"Stage_2",0,1
"ARID4B",6,7,"Stage_2",0,0
"FEZ1",6,2,"Stage_2",0,1
"FEZ2",6,2,"Stage_2",0,0
"MCFD2",6,1,"Stage_2",0,0
"PICALM",6,1,"Stage_2",0,0
"PRG2",6,1,"Stage_2",0,1
"PRKCZ",6,7,"Stage_2",0,0
"RPS6KB1",6,1,"Stage_2",0,0
"ATF3",7,5,"Stage_2",0,1
"CCND1",7,2,"Stage_2",0,1
"CCNG2",7,3,"Stage_2",0,1
"CREBBP",7,24,"Stage_2",0,0
"ESR1",7,11,"Stage_2",0,1
"ETS1",7,6,"Stage_2",0,1
"FOSL2",7,1,"Stage_2",0,1
"GATA2",7,4,"Stage_2",0,1
"GRIP1",7,4,"Stage_2",0,1
"HOXA9",7,4,"Stage_2",0,1
"HOXB1",7,2,"Stage_2",0,1
"JUN",7,21,"Stage_2",0,0
"KHDRBS1",7,2,"Stage_2",0,0
"MAFG",7,3,"Stage_2",0,1
"NFE2L2",7,3,"Stage_2",0,1
"NFIA",7,1,"Stage_2",0,0
"NR2F6",7,2,"Stage_2",0,1
