"comm","size","members","numSigEnrichedPathways","conn.pvalue"
1,19,"BAG5  CKAP4  CNKSR1  DNMT3A  EFEMP1  ERRFI1  HIPK3  LRP1B  LRPAP1  MAPK7  MYC  PLAT  RAF1  RALGDS  RASSF1  SASH1  SLC47A1  TFAP2A  TPM3",2,"< 2e-03"
2,23,"CFD  COL2A1  COL4A6  COL6A2  FEM1C  FN1  FST  ICAM2  IGLL1  ITGA1  ITGA11  ITGAL  MATN1  MSN  PKD1  PPM1F  RANBP9  RAP2C  RASSF5  SH3BP5  TCEB1  TGFBI  TNFRSF11B",10,"< 2e-03"
3,12,"AFF3  ANK3  ASNS  CRKL  CSNK1G3  ENO3  ETV6  MAP4K5  MIB2  RQCD1  SEC23A  WIPF1",0,"< 2e-03"
4,7,"GPC1  GTF3C4  NDUFA4  NDUFA5  P4HA1  SIP1  SLIT2",2,"< 2e-03"
5,13,"ANXA6  CFL2  EPS8  FABP5  GMFB  MAP2  MARCKS  MPRIP  NIN  TMOD3  TOB1  TPD52  UACA",0,"< 2e-03"
6,8,"ARID4B  FEZ1  FEZ2  MCFD2  PICALM  PRG2  PRKCZ  RPS6KB1",1,"< 2e-03"
7,33,"ATF3  CCND1  CCNG2  CREBBP  ESR1  ETS1  FOSL2  GATA2  GRIP1  HOXA9  HOXB1  JUN  KHDRBS1  MAFG  NFE2L2  NFIA  NR2F6  NR3C1  ONECUT1  PHOX2A  PML  POU1F1  PPFIA1  RELA  SENP2  SMAD2  SMAD3  STAT4  TDG  TP53  WRB  ZEB1  ZEB2",29,"< 2e-03"
8,6,"CLASP1  GOLGA1  MAPRE3  NADK  RAB11FIP2  RASSF8",0,"< 2e-03"
9,9,"BCL11A  KIF13B  PPAP2B  SFRP1  SFRP4  SFRP5  UTP6  WNK4  WNT16",2,"< 2e-03"
10,3,"NF2  NFKBIA  TBK1",2,"< 2e-03"
11,4,"ATXN1  QKI  RBFOX1  ST6GALNAC6",0,"< 2e-03"
12,3,"PACSIN1  PACSIN2  SYNJ1",0,"< 2e-03"
13,3,"MDK  PTPRZ1  TNR",0,"< 2e-03"
