"node1","node2","score"
"ADRBK1","GIT2",1
"AFF3","RQCD1",0.349466
"ANK3","CRKL",1
"ANK3","SMAD2",1
"ANK3","SMAD3",1
"ANXA6","CFL2",0.0918472
"ANXA6","GMFB",0.0914871
"ANXA6","MPRIP",0.0542077
"ANXA6","TMOD3",0.0533618
"ANXA6","TPD52",0.618859
"ANXA6","UACA",0.116521
"ARID4B","CRKL",0.11577
"ARID4B","MCFD2",0.105323
"ARID4B","MIB2",0.142182
"ARID4B","MSN",0.251945
"ARID4B","PICALM",0.51575
"ARID4B","PRKCZ",0.473966
"ARID4B","SLIT2",0.0885875
"ASNS","ENO3",0.0625096
"ASNS","SEC23A",0.0725949
"ASNS","WIPF1",0.0694601
"ATF3","CREBBP",0.424268
"ATF3","JUN",1
"ATF3","RELA",1
"ATF3","SMAD3",1
"ATF3","TP53",1
"ATXN1","RBFOX1",1
"ATXN1","ST6GALNAC6",1
"BAG5","TPM3",0.172051
"BCL11A","KIF13B",0.455609
"BCL11A","PPAP2B",0.385402
"BCL11A","UTP6",0.412685
"BCL11A","WNK4",0.357535
"BCL11A","WNT16",0.490621
"CCND1","ESR1",1
"CCND1","JUN",1
"CCNG2","NF2",0.113667
"CCNG2","RASSF8",0.0763689
"CCNG2","TP53",0.415532
"CFD","FN1",0.140154
"CFD","SH3BP5",0.317241
"CFL2","GMFB",0.166947
"CFL2","MPRIP",0.0755321
"CFL2","TMOD3",0.0691615
"CFL2","UACA",0.205367
"CKAP4","LRP1B",0.11041
"CKAP4","MPRIP",0.0505888
"CKAP4","PLAT",0.624525
"CKAP4","RANBP9",0.0687406
"CLASP1","MAPRE3",1
"CLASP1","NADK",0.257723
"CLASP1","RAB11FIP2",0.279975
"CLASP1","RAF1",0.105858
"CLASP1","RASSF8",0.187052
"CNKSR1","RAF1",1
"CNKSR1","RALGDS",1
"CNKSR1","RASSF1",1
"COL2A1","FN1",1
"COL2A1","MATN1",1
"COL2A1","PKD1",1
"COL2A1","TGFBI",0.632319
"COL4A6","FN1",0.4829
"COL6A2","FN1",0.628349
"CPA5","RECK",1
"CREBBP","ESR1",1
"CREBBP","ETS1",1
"CREBBP","GATA2",1
"CREBBP","HOXA9",0.534102
"CREBBP","HOXB1",0.379007
"CREBBP","JUN",1
"CREBBP","KHDRBS1",1
"CREBBP","MAFG",0.539289
"CREBBP","MYC",0.55773
"CREBBP","NFE2L2",1
"CREBBP","NFIA",0.602022
"CREBBP","NR3C1",1
"CREBBP","ONECUT1",1
"CREBBP","PHOX2A",1
"CREBBP","PML",1
"CREBBP","POU1F1",0.628125
"CREBBP","RELA",1
"CREBBP","SMAD2",1
"CREBBP","SMAD3",1
"CREBBP","STAT4",1
"CREBBP","TDG",1
"CREBBP","TP53",1
"CREBBP","WRB",0.389701
"CRKL","ETV6",1
"CRKL","MAP4K5",1
"CRKL","MIB2",0.157377
"CRKL","SLIT2",0.0979249
"CRKL","WIPF1",1
"CSNK1G3","MAP4K5",0.0914716
"CSNK1G3","TBK1",0.0598431
"DNMT3A","MYC",1
"EFEMP1","RAF1",1
"ELL2","PHACTR2",0.0963245
"ENO3","SEC23A",0.057906
"EPS8","TMOD3",0.0749701
"EPS8","TPM3",0.0827073
"ERRFI1","RAF1",0.123255
"ERRFI1","SASH1",0.234082
"ESR1","GRIP1",1
"ESR1","ISL1",1
