pathway,escore,pathwaySize,overlap,overlapList,keep,isSignificant,Community
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.001753772,97,2,CFL2  MARCKS,1,0,5
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE,0.007128584,11,1,MARCKS,1,0,5
BIOCARTA_AKAPCENTROSOME_PATHWAY,0.009709145,15,1,MAP2,1,0,5
BIOCARTA_CALCINEURIN_PATHWAY,0.013568381,21,1,MARCKS,1,0,5
BIOCARTA_TOB1_PATHWAY,0.013568381,21,1,TOB1,1,0,5
SIG_REGULATION_OF_THE_ACTIN_CYTOSKELETON_BY_RHO_GTPASES,0.022519337,35,1,CFL2,1,0,5
PID_RAC1_REG_PATHWAY,0.024427618,38,1,EPS8,1,0,5
SIG_CHEMOTAXIS,0.028866909,45,1,CFL2,1,0,5
PID_LKB1_PATHWAY,0.030131848,47,1,MAP2,1,0,5
PID_CASPASE_PATHWAY,0.033287546,52,1,CFL2,1,0,5
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS,0.033917547,53,1,TPD52,1,0,5
REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING,0.038316955,60,1,TPD52,1,0,5
KEGG_PPAR_SIGNALING_PATHWAY,0.043946162,69,1,FABP5,1,0,5
PID_CDC42_PATHWAY,0.044569749,70,1,EPS8,1,0,5
REACTOME_REGULATION_OF_INSULIN_SECRETION,0.058809025,93,1,MARCKS,1,0,5
PID_ERBB1_DOWNSTREAM_PATHWAY,0.066160202,105,1,EPS8,1,0,5
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,0.075274638,120,1,MARCKS,1,0,5
KEGG_AXON_GUIDANCE,0.080703811,129,1,CFL2,1,0,5
PID_PDGFRBPATHWAY,0.080703811,129,1,EPS8,1,0,5
REACTOME_MEMBRANE_TRAFFICKING,0.080703811,129,1,TPD52,1,0,5
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.131689805,216,1,CFL2,1,0,5
