Pathway,escore,PathwaySize,overlap,overlapList,keep,isSignificant,Community
PID_AP1_PATHWAY,1.22E-17,70,10,ATF3  CCND1  ESR1  ETS1  FOSL2  GATA2  JUN  MAFG  NR3C1  TP53,1,1,7
PID_SMAD2_3NUCLEARPATHWAY,5.88E-11,82,7,ATF3  CREBBP  ESR1  JUN  NR3C1  SMAD2  SMAD3,1,1,7
PID_REG_GR_PATHWAY,4.00E-09,82,6,CREBBP  JUN  NR3C1  POU1F1  RELA  TP53,1,1,7
KEGG_WNT_SIGNALING_PATHWAY,4.41E-09,151,7,CCND1  CREBBP  JUN  SENP2  SMAD2  SMAD3  TP53,1,1,7
KEGG_COLORECTAL_CANCER,5.39E-08,62,5,CCND1  JUN  SMAD2  SMAD3  TP53,1,1,7
BIOCARTA_NTHI_PATHWAY,6.37E-08,24,4,CREBBP  NR3C1  RELA  SMAD3,1,1,7
PID_HIF1_TFPATHWAY,7.41E-08,66,5,CREBBP  ETS1  GATA2  JUN  SMAD3,1,1,7
KEGG_PANCREATIC_CANCER,9.99E-08,70,5,CCND1  RELA  SMAD2  SMAD3  TP53,1,1,7
REACTOME_PRE_NOTCH_TRANSCRIPTION_AND_TRANSLATION,1.42E-07,29,4,CCND1  CREBBP  JUN  TP53,1,1,7
BIOCARTA_CARM_ER_PATHWAY,3.10E-07,35,4,CCND1  CREBBP  ESR1  GRIP1,1,1,7
PID_FOXM1PATHWAY,5.38E-07,40,4,CCND1  CREBBP  ESR1  ONECUT1,1,1,7
PID_HNF3APATHWAY,7.96E-07,44,4,CREBBP  ESR1  JUN  NFIA,1,1,7
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING,7.96E-07,44,4,CCND1  CREBBP  JUN  TP53,1,1,7
PID_AR_TF_PATHWAY,1.70E-06,53,4,CREBBP  GATA2  JUN  NR3C1,1,1,7
KEGG_CELL_CYCLE,2.04E-06,128,5,CCND1  CREBBP  SMAD2  SMAD3  TP53,1,1,7
PID_ATF2_PATHWAY,2.62E-06,59,4,ATF3  CCND1  ESR1  JUN,1,1,7
BIOCARTA_PML_PATHWAY,2.74E-06,17,3,CREBBP  PML  TP53,1,1,7
PID_P53DOWNSTREAMPATHWAY,2.85E-06,137,5,ATF3  CREBBP  JUN  PML  TP53,1,1,7
BIOCARTA_TGFB_PATHWAY,3.89E-06,19,3,CREBBP  SMAD2  SMAD3,1,1,7
BIOCARTA_ATM_PATHWAY,4.58E-06,20,3,JUN  RELA  TP53,1,1,7
PID_TELOMERASEPATHWAY,4.64E-06,68,4,CCND1  ESR1  JUN  SMAD3,1,1,7
KEGG_CHRONIC_MYELOID_LEUKEMIA,6.17E-06,73,4,CCND1  RELA  SMAD3  TP53,1,1,7
BIOCARTA_G1_PATHWAY,1.30E-05,28,3,CCND1  SMAD3  TP53,1,1,7
KEGG_PROSTATE_CANCER,1.36E-05,89,4,CCND1  CREBBP  RELA  TP53,1,1,7
PID_IL12_STAT4PATHWAY,2.16E-05,33,3,CREBBP  JUN  STAT4,1,1,7
PID_HDAC_CLASSII_PATHWAY,2.37E-05,34,3,ESR1  GATA2  NR3C1,1,1,7
REACTOME_SIGNALING_BY_NOTCH,2.42E-05,103,4,CCND1  CREBBP  JUN  TP53,1,1,7
PID_FRA_PATHWAY,3.06E-05,37,3,CCND1  FOSL2  JUN,1,1,7
PID_P38ALPHABETADOWNSTREAMPATHWAY,3.32E-05,38,3,ESR1  JUN  TP53,1,1,7
PID_ILK_PATHWAY,5.54E-05,45,3,CCND1  JUN  ZEB1,1,0,7
BIOCARTA_KERATINOCYTE_PATHWAY,5.92E-05,46,3,ETS1  JUN  RELA,1,0,7
PID_PS1PATHWAY,5.92E-05,46,3,CCND1  CREBBP  JUN,1,0,7
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,6.39E-05,132,4,CREBBP  GATA2  MAFG  TP53,1,0,7
REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY,7.16E-05,49,3,ESR1  NR2F6  NR3C1,1,0,7
PID_TGFBRPATHWAY,0.00010127,55,3,PML  SMAD2  SMAD3,1,0,7
BIOCARTA_RNA_PATHWAY,0.000117828,10,2,RELA  TP53,1,0,7
BIOCARTA_PPARA_PATHWAY,0.000118707,58,3,CREBBP  JUN  RELA,1,0,7
PID_FAK_PATHWAY,0.000124926,59,3,CCND1  ETS1  JUN,1,0,7
KEGG_ACUTE_MYELOID_LEUKEMIA,0.000131353,60,3,CCND1  PML  RELA,1,0,7
PID_MYC_REPRESSPATHWAY,0.000151917,63,3,CCND1  SMAD2  SMAD3,1,0,7
PID_BCR_5PATHWAY,0.000166726,65,3,ETS1  JUN  RELA,1,0,7
PID_ERA_GENOMIC_PATHWAY,0.000166726,65,3,CCND1  ESR1  JUN,1,0,7
PID_RB_1PATHWAY,0.000166726,65,3,CCND1  CREBBP  JUN,1,0,7
PID_HDAC_CLASSI_PATHWAY,0.000174469,66,3,CREBBP  GATA2  RELA,1,0,7
KEGG_P53_SIGNALING_PATHWAY,0.00019909,69,3,CCND1  CCNG2  TP53,1,0,7
BIOCARTA_ARENRF2_PATHWAY,0.000203602,13,2,JUN  MAFG,1,0,7
KEGG_RENAL_CELL_CARCINOMA,0.000207771,70,3,CREBBP  ETS1  JUN,1,0,7
BIOCARTA_RANKL_PATHWAY,0.000237291,14,2,FOSL2  RELA,1,0,7
KEGG_ADHERENS_JUNCTION,0.000254863,75,3,CREBBP  SMAD2  SMAD3,1,0,7
SA_G1_AND_S_PHASES,0.000273515,15,2,CCND1  TP53,1,0,7
PID_MYC_ACTIVPATHWAY,0.000297135,79,3,CREBBP  SMAD3  TP53,1,0,7
BIOCARTA_CDMAC_PATHWAY,0.000312265,16,2,JUN  RELA,1,0,7
BIOCARTA_P53_PATHWAY,0.000312265,16,2,CCND1  TP53,1,0,7
BIOCARTA_RELA_PATHWAY,0.000312265,16,2,CREBBP  RELA,1,0,7
BIOCARTA_41BB_PATHWAY,0.000353536,17,2,JUN  RELA,1,0,7
PID_SMAD2_3PATHWAY,0.000353536,17,2,SMAD2  SMAD3,1,0,7
KEGG_SMALL_CELL_LUNG_CANCER,0.00035602,84,3,CCND1  RELA  TP53,1,0,7
PID_CMYB_PATHWAY,0.00035602,84,3,CCND1  CREBBP  ETS1,1,0,7
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.000381527,86,3,CREBBP  SMAD2  SMAD3,1,0,7
BIOCARTA_CARDIACEGF_PATHWAY,0.000397317,18,2,JUN  RELA,1,0,7
BIOCARTA_ETS_PATHWAY,0.000397317,18,2,ETS1  JUN,1,0,7
REACTOME_SIGNALING_BY_NODAL,0.000397317,18,2,SMAD2  SMAD3,1,0,7
WNT_SIGNALING,0.000421947,89,3,CCND1  JUN  SENP2,1,0,7
BIOCARTA_TID_PATHWAY,0.000443602,19,2,RELA  TP53,1,0,7
REACTOME_DOWNREGULATION_OF_SMAD2_3_SMAD4_TRANSCRIPTIONAL_ACTIVITY,0.000492383,20,2,SMAD2  SMAD3,1,0,7
BIOCARTA_GCR_PATHWAY,0.000597399,22,2,NR3C1  RELA,1,0,7
BIOCARTA_HER2_PATHWAY,0.000597399,22,2,ESR1  GRIP1,1,0,7
BIOCARTA_IL12_PATHWAY,0.000653619,23,2,JUN  STAT4,1,0,7
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,0.000653619,23,2,SMAD2  SMAD3,1,0,7
BIOCARTA_STRESS_PATHWAY,0.000773445,25,2,JUN  RELA,1,0,7
PID_HDAC_CLASSIII_PATHWAY,0.000773445,25,2,CREBBP  TP53,1,0,7
BIOCARTA_RACCYCD_PATHWAY,0.000837034,26,2,CCND1  RELA,1,0,7
BIOCARTA_WNT_PATHWAY,0.000837034,26,2,CCND1  CREBBP,1,0,7
REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS,0.000837034,26,2,SMAD2  SMAD3,1,0,7
BIOCARTA_GSK3_PATHWAY,0.000903065,27,2,CCND1  RELA,1,0,7
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION,0.000903065,27,2,SMAD2  SMAD3,1,0,7
KEGG_THYROID_CANCER,0.001042418,29,2,CCND1  TP53,1,0,7
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.001160237,126,3,JUN  RELA  TP53,1,0,7
BIOCARTA_EGF_PATHWAY,0.001191442,31,2,JUN  STAT4,1,0,7
PID_AVB3_OPN_PATHWAY,0.001191442,31,2,JUN  RELA,1,0,7
PID_CD40_PATHWAY,0.001191442,31,2,JUN  RELA,1,0,7
BIOCARTA_PDGF_PATHWAY,0.001269562,32,2,JUN  STAT4,1,0,7
BIOCARTA_IL1R_PATHWAY,0.001350076,33,2,JUN  RELA,1,0,7
PID_HIF2PATHWAY,0.001432978,34,2,CREBBP  ETS1,1,0,7
PID_IL1PATHWAY,0.001432978,34,2,JUN  RELA,1,0,7
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION,0.001605912,36,2,CREBBP  NR3C1,1,0,7
BIOCARTA_TOLL_PATHWAY,0.00169593,37,2,JUN  RELA,1,0,7
PID_IL23PATHWAY,0.00169593,37,2,RELA  STAT4,1,0,7
