,V1,V2
1,UBE2Z,LPL
2,SYNJ1,PLCB1
3,SYNJ1,NCK1
4,SYNJ1,PLCG1
5,SYNJ1,PIK3CA
6,SYNJ1,PIP5K1C
7,SYNJ1,PIP4K2A
8,SYNJ1,PIP4K2B
9,SYNJ1,PIP5K1A
10,SYNJ1,PIP5K1B
11,SYNJ1,PACSIN3
12,SYNJ1,PIK3R1
13,SYNJ1,PIK3CG
14,SYNJ1,SH3GL3
15,SYNJ1,PIK3CD
16,SYNJ1,PIK3CB
17,SYNJ1,SH3KBP1
18,SYNJ1,PIK3R4
19,SYNJ1,PTEN
20,SYNJ1,PIK3C2G
21,SYNJ1,PIK3R2
22,SYNJ1,PIK3R3
23,SYNJ1,PIK3R5
24,SYNJ1,PLCB2
25,SYNJ1,PLCB4
26,SYNJ1,PLCB3
27,SYNJ1,PLCD1
28,SYNJ1,PLCG2
29,SYNJ1,PLCD3
30,SYNJ1,PLCD4
31,SYNJ1,PLCE1
32,SYNJ1,PLCZ1
33,MAP3K1,PPP2R5E
34,MAP3K1,PLCG1
35,MAP3K1,MAP3K5
36,MAP3K1,RAB35
37,MAP3K1,RAC2
38,MAP3K1,RAC3
39,MAP3K1,MYLK
40,MAP3K1,SH3GL3
41,MAP3K1,DGKZ
42,MAP3K1,MAP2K4
43,MAP3K1,PIK3R2
44,MAP3K1,ALK
45,MAP3K1,ARHGAP9
46,MAP3K1,CENPF
47,MAP3K1,EPHA1
48,MAP3K1,FN3K
49,MAP3K1,INSL6
50,MAP3K1,IRF7
51,MAP3K1,ITK
52,MAP3K1,JAK3
53,MAP3K1,KRT74
54,MAP3K1,LMNB1
55,MAP3K1,MAP2K7
56,MAP3K1,MEP1B
57,MAP3K1,PDX1
58,MAP3K1,PLCB2
59,MAP3K1,PTPRK
60,MAP3K1,RAD17
61,MAP3K1,SMC6
62,MAP3K1,SOCS5
63,MAP3K1,STAT3
64,MAP3K1,UBASH3A
65,MAP3K1,SOCS1
66,MAP3K1,MTIF2
67,MAP3K1,ARHGAP4
68,PLCB1,DGKA
69,PLCB1,PIK3CA
70,PLCB1,PIP5K1C
71,PLCB1,PIP4K2A
72,PLCB1,PIP4K2B
73,PLCB1,PIP5K1A
74,PLCB1,PIP5K1B
75,PLCB1,PIK3R1
76,PLCB1,PIK3CG
77,PLCB1,PIK3CD
78,PLCB1,IPMK
79,PLCB1,DGKB
80,PLCB1,DGKD
