"","V1","V2"
"1","TCEB1","HSPA9"
"2","TCEB1","HSP90AB1"
"3","TCEB1","HSPA1B"
"4","TCEB1","TPM3"
"5","TCEB1","ENSG00000212866"
"6","TCEB1","ENSG00000215328"
"7","TCEB1","RPS27A"
"8","TCEB1","UBC"
"9","TCEB1","ENSG00000196084"
"10","TCEB1","SLC9A3R1"
"11","TCEB1","EMD"
"12","TCEB1","TPM3P4"
"13","TCEB1","HCLS1"
"14","TCEB1","C6orf48"
"15","TCEB1","CFTR"
"16","TCEB1","HSPA1A"
"17","TCEB1","HSPA6"
"18","TCEB1","TCEB2"
"19","TCEB1","WSB1"
"20","TCEB1","ENSG00000206271"
"21","TCEB1","ENSG00000206380"
"22","TCEB1","ATXN2L"
"23","TCEB1","RCN2"
"24","TCEB1","SNX4"
"25","TCEB1","THEM6"
"26","TCEB1","ENSG00000212860"
"27","TCEB1","ENSG00000215292"
"28","TCEB1","ASB8"
"29","TCEB1","SLC9A3R2"
"30","TCEB1","COMMD1"
"31","TCEB1","HSPA2"
"32","TCEB1","LRRC41"
"33","TCEB1","USP33"
"34","TCEB1","NEURL2"
"35","SESN1","FLOT1"
"36","SESN1","ENSG00000206480"
"37","SESN1","ENSG00000206379"
"38","DNAJC3","HSPA1B"
"39","DNAJC3","ENSG00000212866"
"40","DNAJC3","ENSG00000215328"
"41","DNAJC3","DNAJB1"
"42","DNAJC3","HSPA1A"
"43","DNAJC3","ENSG00000212860"
"44","DNAJC3","ENSG00000215292"
"45","DNAJC3","HSPA4"
"46","DNAJC3","EIF2AK2"
"47","DNAJC3","PRKRIR"
"48","FBXO33","HSPA9"
"49","FBXO33","HSP90AB1"
"50","FBXO33","CUL1"
"51","EPS8","HSPA9"
"52","EPS8","PLEKHA6"
"53","EPS8","CLTA"
"54","EPS8","TPM3"
"55","EPS8","CDH1"
"56","EPS8","GNAI2"
"57","EPS8","TPM3P4"
"58","EPS8","SORL1"
"59","EPS8","PLD2"
"60","EPS8","HCLS1"
"61","EPS8","SNX9"
"62","EPS8","CFTR"
"63","EPS8","CLINT1"
"64","EPS8","GNA11"
"65","EPS8","AP1B1"
"66","EPS8","ATP2A3"
"67","EPS8","DAB2"
"68","EPS8","MUC13"
"69","EPS8","MUC2"
"70","EPS8","FLOT2"
"71","EPS8","EPCAM"
"72","EPS8","CEP170"
"73","EPS8","IL1RAPL1"
"74","EPS8","LGALS4"
"75","EPS8","MS4A5"
"76","EPS8","REPS1"
