"geneName","comm","degree","geneset","leftovers","isCandidate"
"ELL2",1,2,"Stage_3",0,0
"HIPK3",1,2,"Stage_3",0,0
"MAPK7",1,1,"Stage_3",0,0
"MED8",1,2,"Stage_3",0,0
"PHACTR2",1,1,"Stage_3",0,0
"PPM1F",1,1,"Stage_3",0,0
"TCEB1",1,5,"Stage_3",0,0
"UBR2",1,5,"Stage_3",0,0
"ACVR1B",2,6,"Stage_3",0,0
"ANAPC7",2,6,"Stage_3",0,0
"ANK3",2,1,"Stage_3",0,0
"CRKL",2,6,"Stage_3",0,0
"CSNK1G3",2,7,"Stage_3",0,0
"HIPK1",2,6,"Stage_3",0,0
"IFNAR1",2,1,"Stage_3",0,0
"MAP4K5",2,7,"Stage_3",0,0
"PHKG2",2,3,"Stage_3",0,0
"RPS6KA3",2,8,"Stage_3",0,0
"SEC23A",2,1,"Stage_3",0,0
"TBK1",2,7,"Stage_3",0,0
"WIPF1",2,4,"Stage_3",0,0
"CFL2",3,3,"Stage_3",0,0
"ERRFI1",3,1,"Stage_3",0,0
"GMFB",3,3,"Stage_3",0,0
"MPRIP",3,8,"Stage_3",0,0
"SASH1",3,2,"Stage_3",0,0
"TFAP2A",3,1,"Stage_3",0,0
"TMOD3",3,4,"Stage_3",0,0
"BAG5",4,2,"Stage_3",0,0
"DNAJA3",4,6,"Stage_3",0,0
"GTF3C4",4,4,"Stage_3",0,0
"HIVEP2",4,2,"Stage_3",0,0
"SIP1",4,1,"Stage_3",0,0
"SLIT2",4,5,"Stage_3",0,0
"ARID4B",5,6,"Stage_3",0,0
"FEZ2",5,1,"Stage_3",0,0
"MCFD2",5,1,"Stage_3",0,0
"MSN",5,1,"Stage_3",0,0
"PICALM",5,1,"Stage_3",0,0
"PRKCZ",5,3,"Stage_3",0,0
"RPS6KB1",5,2,"Stage_3",0,0
"SSU72",5,1,"Stage_3",0,0
"CKAP4",6,4,"Stage_3",0,0
"JUN",6,1,"Stage_3",0,0
"LRP1B",6,3,"Stage_3",0,0
"NR3C1",6,3,"Stage_3",0,0
"RANBP9",6,4,"Stage_3",0,0
"CLASP1",7,3,"Stage_3",0,0
"GOLGA1",7,1,"Stage_3",0,0
"NADK",7,3,"Stage_3",0,0
"RAB11FIP2",7,3,"Stage_3",0,0
"RASSF8",7,4,"Stage_3",0,0
"FN1",8,3,"Stage_3",0,0
"HMOX2",8,1,"Stage_3",0,0
"ITGA1",8,1,"Stage_3",0,0
"PKD1",8,1,"Stage_3",0,0
"TGM2",8,3,"Stage_3",0,0
"DPYSL2",9,6,"Stage_3",0,0
"KIAA1244",9,5,"Stage_3",0,0
"MAP2",9,6,"Stage_3",0,0
"MARCKS",9,6,"Stage_3",0,0
"NIN",9,5,"Stage_3",0,0
"PTPRE",9,5,"Stage_3",0,0
"TOB1",9,1,"Stage_3",0,0
"AFF3",10,1,"Stage_3",1,0
"ALG1",10,0,"Stage_3",1,0
"AP1S2",10,0,"Stage_3",1,0
"ARIH1",10,0,"Stage_3",1,0
"ASF1A",10,0,"Stage_3",1,0
"C16orf72",10,0,"Stage_3",1,0
"C21orf91",10,0,"Stage_3",1,0
"CASP2",10,0,"Stage_3",1,0
"CCNJ",10,0,"Stage_3",1,0
"CDH11",10,0,"Stage_3",1,0
"COL4A3BP",10,0,"Stage_3",1,0
"CYB5B",10,0,"Stage_3",1,0
"DNAJC3",10,0,"Stage_3",1,0
"DPY19L1",10,0,"Stage_3",1,0
"DUSP1",10,0,"Stage_3",1,0
"EIF5A2",10,0,"Stage_3",1,0
"ELMOD2",10,0,"Stage_3",1,0
"EPS8",10,2,"Stage_3",1,0
"FBXO33",10,0,"Stage_3",1,0
"FGF1",10,0,"Stage_3",1,0
"GIT2",10,0,"Stage_3",1,0
"GOLGA7",10,0,"Stage_3",1,0
"GPM6A",10,0,"Stage_3",1,0
"HECTD2",10,0,"Stage_3",1,0
"HN1",10,0,"Stage_3",1,0
"HNF1A",10,1,"Stage_3",1,0
