"comm","size","type","members"
1,17,"real","ACTB1003  AFF3  ANK3  ARID4B  CRKL  FEZ2  INGENOL_MEBUTATE  MCFD2  MSN  PICALM  PRKCZ  RPS6KB1  RQCD1  SEC23A  SSU72  WIPF1  XL418"
2,13,"real","AS1409  ELL2  FN1  HMOX2  ITGA1  MED8  PHACTR2  PKD1  PPM1F  SAN_300  STANNSOPORFIN  TCEB1  TGM2"
3,12,"real","CFL2  CKAP4  EPS8  ERRFI1  GMFB  LRP1B  MPRIP  MRPL20  RANBP9  SASH1  TFAP2A  TMOD3"
4,41,"real","ALCLOMETASONE  AMCINONIDE  BECLOMETHASONE  BECLOMETHASONE_DIPROPIONATE  BETAMETHASONE  BUDESONIDE  CICLESONIDE  CLOBETASOL  CLOCORTOLONE  CORT_108297  DESONIDE  DESOXIMETASONE  DEXAMETHASONE  DIFLORASONE  DIFLUPREDNATE  FLUMETHASONE_PIVALATE  FLUNISOLIDE  FLUOCINOLONE_ACETONIDE  FLUOCINONIDE  FLUOROMETHOLONE  FLURANDRENOLIDE  FLUTICASONE  FLUTICASONE_FUROATE  FLUTICASONE_PROPIONATE  HALOBETASOL_PROPIONATE  HE3286  HYDROCORTAMATE  KB3305  LOTEPREDNOL_ETABONATE  MEDRYSONE  METHYLPREDNISOLONE  MIFEPRISTONE  MOMETASONE  NR3C1  PARAMETHASONE  PMI_001  PREDNICARBATE  PREDNISOLONE  PREDNISONE  RIMEXOLONE  TRIAMCINOLONE"
5,17,"real","IFNAR1  INTERFERON_ALFACON_1  INTERFERON_ALFA_2A__RECOMBINANT  INTERFERON_ALFA_2B__RECOMBINANT  INTERFERON_ALFA_N1  INTERFERON_ALFA_N3  INTERFERON_ALPHA  INTERFERON_ALPHA_2B  INTERFERON_BETA  INTERFERON_BETA_1A  INTERFERON_BETA_1B  MODIFIED_IFN_ALPHA  MODIFIED_IFN_BETA  PEGINTERFERON_ALFA_2A  PEG_INTERFERON_ALFACON_1  RECOMBINANT_INTERFERON_ALFA_2B  SIFALIMUMAB"
6,8,"real","DPYSL2  KIAA1244  LACOSAMIDE  MAP2  MARCKS  NIN  PTPRE  TOB1"
7,9,"real","BAG5  DNAJA3  GTF3C4  HIPK3  HIVEP2  MAPK7  SIP1  SLIT2  UBR2"
8,8,"real","ACVR1B  ANAPC7  CSNK1G3  HIPK1  MAP4K5  PHKG2  RPS6KA3  TBK1"
9,5,"real","CLASP1  GOLGA1  NADK  RAB11FIP2  RASSF8"
10,4,"real","AC_100_DENTONIN  BGC20_1531  DINOPROSTONE  PTGER4"
11,3,"real","ARSENIC_TRIOXIDE  JUN  T_5224"
12,3,"real","LESTAURTINIB  NTRK2  PYM50028"
13,131,"LeftOvers","8-MAR  AGFG1  ALG1  AP1S2  ARHGAP6  ARIH1  ASF1A  ATL2  ATP11C  B3GALTL  BHLHE41  C11orf87  C16orf72  C16orf93  C21orf91  CASP2  CCNJ  CDH11  CDK17  CNEP1R1  COL4A3BP  CSMD3  CXorf23  CYB5B  DELTAEF1  DENENICOKIN  DENND5B  DNAJC3  DPY19L1  DUSP1  EDEM3  EIF5A2  ELMOD2  FAM122C  FAM134B  FAM160B1  FAM86A  FAT3  FBXO33  FGF1  FOXF1  GIT2  GOLGA7  GPM6A  GPR107  GPR158  HDHD2  HECTD2  HMBOX1  HN1  HNF1A  HOXA11  HOXA5  IGBP1  IGSF10  IL21R  KHDRBS1  KIAA1432  LHFP  MBOAT2  MGAT5  MIEF1  MMD  MMGT1  MTF2  MYCBP2  NDOR1  NFIA  NOVA1  NR5A2  NUDT4  NUP54  OSTM1  PCMTD1  PDIK1L  PDS5B  PENTOSAN_POLYSULFATE  PHACTR3  PHF21B  PHTF2  PIKFYVE  PLCL1  POLK  PPAP2B  PPFIA1  PPP1R18  PRSS36  PTPN21  PTPRZ1  RABIF  RAP2C  RBFOX1  RECK  RFTN2  RHOBTB1  RIMKLB  RNF169  RNF2  SESN1  SGIP1  SLC35B4  SLC6A1  SLITRK1  SNN  SORBS1  SULF1  SYDE1  SYNJ1  TBX18  TFAP4  THBD  TIAGABINE  TMEFF2  TRIM33  TROVE2  TSC22D2  VASH2  WAPAL  WASF3  WAVE3  WDFY3  WHSC1  YPEL2  ZCCHC24  ZEB1  ZEB2  ZEB4  ZFPM2  ZNF322  ZNF532  ZSWIM6"
