"node","comm","type","geneset","leftovers"
"INGENOL_MEBUTATE",1,"EstablishedDrug","Stage_3",0
"AFF3",1,"Input Gene","Stage_3",0
"ANK3",1,"Input Gene","Stage_3",0
"ARID4B",1,"Input Gene","Stage_3",0
"CRKL",1,"Input Gene","Stage_3",0
"FEZ2",1,"Input Gene","Stage_3",0
"MCFD2",1,"Input Gene","Stage_3",0
"MSN",1,"Input Gene","Stage_3",0
"PICALM",1,"Input Gene","Stage_3",0
"PRKCZ",1,"Input Gene","Stage_3",0
"RPS6KB1",1,"Input Gene","Stage_3",0
"RQCD1",1,"Input Gene","Stage_3",0
"SEC23A",1,"Input Gene","Stage_3",0
"SSU72",1,"Input Gene","Stage_3",0
"WIPF1",1,"Input Gene","Stage_3",0
"ACTB1003",1,"NovelDrug","Stage_3",0
"XL418",1,"NovelDrug","Stage_3",0
"ELL2",2,"Input Gene","Stage_3",0
"FN1",2,"Input Gene","Stage_3",0
"HMOX2",2,"Input Gene","Stage_3",0
"ITGA1",2,"Input Gene","Stage_3",0
"MED8",2,"Input Gene","Stage_3",0
"PHACTR2",2,"Input Gene","Stage_3",0
"PKD1",2,"Input Gene","Stage_3",0
"PPM1F",2,"Input Gene","Stage_3",0
"TCEB1",2,"Input Gene","Stage_3",0
"TGM2",2,"Input Gene","Stage_3",0
"AS1409",2,"NovelDrug","Stage_3",0
"STANNSOPORFIN",2,"NovelDrug","Stage_3",0
"SAN_300",2,"NovelDrug","Stage_3",0
"CFL2",3,"Input Gene","Stage_3",0
"CKAP4",3,"Input Gene","Stage_3",0
"EPS8",3,"Input Gene","Stage_3",0
"ERRFI1",3,"Input Gene","Stage_3",0
"GMFB",3,"Input Gene","Stage_3",0
"LRP1B",3,"Input Gene","Stage_3",0
"MPRIP",3,"Input Gene","Stage_3",0
"MRPL20",3,"Input Gene","Stage_3",0
"RANBP9",3,"Input Gene","Stage_3",0
"SASH1",3,"Input Gene","Stage_3",0
"TFAP2A",3,"Input Gene","Stage_3",0
"TMOD3",3,"Input Gene","Stage_3",0
"FLUTICASONE_PROPIONATE",4,"EstablishedDrug","Stage_3",0
"PREDNISONE",4,"EstablishedDrug","Stage_3",0
"BECLOMETHASONE",4,"EstablishedDrug","Stage_3",0
"BETAMETHASONE",4,"EstablishedDrug","Stage_3",0
"BUDESONIDE",4,"EstablishedDrug","Stage_3",0
"CLOBETASOL",4,"EstablishedDrug","Stage_3",0
"CORT_108297",4,"EstablishedDrug","Stage_3",0
"PREDNISOLONE",4,"EstablishedDrug","Stage_3",0
"MOMETASONE",4,"EstablishedDrug","Stage_3",0
"DESONIDE",4,"EstablishedDrug","Stage_3",0
"DEXAMETHASONE",4,"EstablishedDrug","Stage_3",0
"DIFLUPREDNATE",4,"EstablishedDrug","Stage_3",0
"BECLOMETHASONE_DIPROPIONATE",4,"EstablishedDrug","Stage_3",0
"FLUTICASONE",4,"EstablishedDrug","Stage_3",0
"FLUNISOLIDE",4,"EstablishedDrug","Stage_3",0
"FLUOCINONIDE",4,"EstablishedDrug","Stage_3",0
"FLUOCINOLONE_ACETONIDE",4,"EstablishedDrug","Stage_3",0
"KB3305",4,"EstablishedDrug","Stage_3",0
"LOTEPREDNOL_ETABONATE",4,"EstablishedDrug","Stage_3",0
"MIFEPRISTONE",4,"EstablishedDrug","Stage_3",0
"PMI_001",4,"EstablishedDrug","Stage_3",0
"TRIAMCINOLONE",4,"EstablishedDrug","Stage_3",0
"HE3286",4,"EstablishedDrug","Stage_3",0
"FLUTICASONE_FUROATE",4,"EstablishedDrug","Stage_3",0
"ALCLOMETASONE",4,"EstablishedDrug","Stage_3",0
"AMCINONIDE",4,"EstablishedDrug","Stage_3",0
"CICLESONIDE",4,"EstablishedDrug","Stage_3",0
"CLOCORTOLONE",4,"EstablishedDrug","Stage_3",0
"DESOXIMETASONE",4,"EstablishedDrug","Stage_3",0
"DIFLORASONE",4,"EstablishedDrug","Stage_3",0
"FLUMETHASONE_PIVALATE",4,"EstablishedDrug","Stage_3",0
"FLUOROMETHOLONE",4,"EstablishedDrug","Stage_3",0
"FLURANDRENOLIDE",4,"EstablishedDrug","Stage_3",0
"HALOBETASOL_PROPIONATE",4,"EstablishedDrug","Stage_3",0
"HYDROCORTAMATE",4,"EstablishedDrug","Stage_3",0
"MEDRYSONE",4,"EstablishedDrug","Stage_3",0
"METHYLPREDNISOLONE",4,"EstablishedDrug","Stage_3",0
"PARAMETHASONE",4,"EstablishedDrug","Stage_3",0
"PREDNICARBATE",4,"EstablishedDrug","Stage_3",0
"RIMEXOLONE",4,"EstablishedDrug","Stage_3",0
"NR3C1",4,"Input Gene","Stage_3",0
"INTERFERON_BETA_1A",5,"EstablishedDrug","Stage_3",0
"INTERFERON_ALPHA_2B",5,"EstablishedDrug","Stage_3",0
"MODIFIED_IFN_ALPHA",5,"EstablishedDrug","Stage_3",0
"MODIFIED_IFN_BETA",5,"EstablishedDrug","Stage_3",0
"INTERFERON_ALFA_N3",5,"EstablishedDrug","Stage_3",0
"INTERFERON_ALPHA",5,"EstablishedDrug","Stage_3",0
"INTERFERON_BETA",5,"EstablishedDrug","Stage_3",0
"INTERFERON_BETA_1B",5,"EstablishedDrug","Stage_3",0
"PEG_INTERFERON_ALFACON_1",5,"EstablishedDrug","Stage_3",0
"PEGINTERFERON_ALFA_2A",5,"EstablishedDrug","Stage_3",0
"RECOMBINANT_INTERFERON_ALFA_2B",5,"EstablishedDrug","Stage_3",0
"SIFALIMUMAB",5,"EstablishedDrug","Stage_3",0
