"node1","node2","score"
"ACVR1B","ANAPC7",0.147742
"ACVR1B","CSNK1G3",0.0783359
"ACVR1B","HIPK1",0.156745
"ACVR1B","MAP4K5",0.173852
"ACVR1B","RPS6KA3",0.0829228
"ACVR1B","TBK1",0.0868651
"AFF3","RQCD1",0.349466
"ANAPC7","CSNK1G3",0.0772946
"ANAPC7","HIPK1",0.150871
"ANAPC7","MAP4K5",0.16726
"ANAPC7","RPS6KA3",0.0818007
"ANAPC7","TBK1",0.0842474
"ANK3","CRKL",1
"ARID4B","CRKL",0.11577
"ARID4B","MCFD2",0.105323
"ARID4B","MSN",0.251945
"ARID4B","PICALM",0.51575
"ARID4B","PRKCZ",0.473966
"ARID4B","SLIT2",0.0885875
"BAG5","DNAJA3",0.16634
"BAG5","HIVEP2",0.465032
"CFL2","GMFB",0.166947
"CFL2","MPRIP",0.0755321
"CFL2","TMOD3",0.0691615
"CKAP4","DNAJA3",0.0666822
"CKAP4","LRP1B",0.11041
"CKAP4","MPRIP",0.0505888
"CKAP4","RANBP9",0.0687406
"CLASP1","NADK",0.257723
"CLASP1","RAB11FIP2",0.279975
"CLASP1","RASSF8",0.187052
"CRKL","IFNAR1",0.525131
"CRKL","MAP4K5",1
"CRKL","SLIT2",0.0979249
"CRKL","WIPF1",1
"CSNK1G3","HIPK1",0.0846202
"CSNK1G3","MAP4K5",0.0914716
"CSNK1G3","PHKG2",0.0879572
"CSNK1G3","RPS6KA3",0.0566283
"CSNK1G3","TBK1",0.0598431
"DNAJA3","GTF3C4",0.0515286
"DNAJA3","HIVEP2",0.166139
"DNAJA3","SLIT2",0.0551451
"DNAJA3","UBR2",0.051286
"DPYSL2","KIAA1244",0.218109
"DPYSL2","MAP2",0.306486
"DPYSL2","MARCKS",0.122181
"DPYSL2","NIN",0.112425
"DPYSL2","PTPRE",0.10773
"DPYSL2","WIPF1",0.388388
"ELL2","MED8",0.133099
"ELL2","PHACTR2",0.0963245
"EPS8","MRPL20",1
"EPS8","TMOD3",0.0749701
"ERRFI1","SASH1",0.234082
"FEZ2","PRKCZ",1
"FN1","PKD1",1
"FN1","TCEB1",0.356253
"FN1","TGM2",1
"GMFB","MPRIP",0.0737251
"GMFB","TMOD3",0.070756
"GOLGA1","RASSF8",0.126514
"GTF3C4","SIP1",0.0670719
"GTF3C4","SLIT2",0.0616179
"GTF3C4","UBR2",0.055249
"HIPK1","MAP4K5",0.177605
"HIPK1","RPS6KA3",0.0859994
"HIPK1","TBK1",0.094614
"HIPK3","MAPK7",0.0571187
"HIPK3","UBR2",0.0473282
"HMOX2","TGM2",0.21338
"HNF1A","PPAP2B",0.231288
"HOXA5","MTF2",0.606803
"ITGA1","TGM2",0.455851
"JUN","NR3C1",1
"KIAA1244","MAP2",0.193724
"KIAA1244","MARCKS",0.432556
"KIAA1244","NIN",0.401283
"KIAA1244","PTPRE",0.385308
"LRP1B","MPRIP",0.0703203
"LRP1B","RANBP9",0.137796
"MAP2","MARCKS",0.113602
"MAP2","NIN",0.106707
"MAP2","PTPRE",0.110471
"MAP2","RPS6KA3",0.213552
"MAP4K5","RPS6KA3",0.105811
"MAP4K5","TBK1",0.126242
"MARCKS","NIN",0.231105
"MARCKS","PTPRE",0.220451
"MARCKS","TOB1",1
"MED8","TCEB1",1
"MPRIP","RANBP9",0.0525943
"MPRIP","SASH1",0.127385
"MPRIP","TFAP2A",0.0544921
"MPRIP","TMOD3",0.166006
"NADK","RAB11FIP2",0.235777
"NADK","RASSF8",0.157109
"NIN","PTPRE",0.201413
"NR3C1","RANBP9",1
"NR3C1","TCEB1",0.147955
"PDS5B","WAPAL",1
"PHKG2","RPS6KA3",0.110395
"PHKG2","TBK1",0.128192
"PPM1F","TCEB1",0.378793
