"geneName","comm","degree","geneset","leftovers","isCandidate"
"ACTB",1,52,"Stage_3",0,1
"AFF3",1,1,"Stage_3",0,0
"ANXA6",1,11,"Stage_3",0,1
"AP1S2",1,2,"Stage_3",0,0
"ARIH1",1,3,"Stage_3",0,0
"ATXN1",1,4,"Stage_3",0,1
"BCAP31",1,3,"Stage_3",0,1
"BCL2L7P1",1,1,"Stage_3",0,1
"CKAP4",1,10,"Stage_3",0,0
"DNAJA3",1,19,"Stage_3",0,0
"EEF1A1",1,41,"Stage_3",0,1
"ENO3",1,5,"Stage_3",0,1
"FLNB",1,11,"Stage_3",0,1
"GMFB",1,10,"Stage_3",0,0
"GTF3C4",1,9,"Stage_3",0,0
"IGBP1",1,1,"Stage_3",0,0
"KRT17",1,15,"Stage_3",0,1
"LRP1B",1,7,"Stage_3",0,0
"MAPK7",1,3,"Stage_3",0,0
"MPRIP",1,19,"Stage_3",0,0
"MYCBP2",1,2,"Stage_3",0,0
"NADK",1,4,"Stage_3",0,0
"NR5A2",1,2,"Stage_3",0,0
"PLAT",1,3,"Stage_3",0,1
"RBFOX1",1,1,"Stage_3",0,0
"RQCD1",1,5,"Stage_3",0,0
"RUVBL1",1,25,"Stage_3",0,1
"SIP1",1,2,"Stage_3",0,0
"SORBS1",1,1,"Stage_3",0,0
"TFAP2A",1,2,"Stage_3",0,0
"TMEM16K",1,4,"Stage_3",0,1
"TMOD3",1,14,"Stage_3",0,0
"TRPV4",1,3,"Stage_3",0,1
"UACA",1,10,"Stage_3",0,1
"WASF3",1,1,"Stage_3",0,0
"YWHAE",1,31,"Stage_3",0,1
"YWHAZ",1,28,"Stage_3",0,1
"ADRBK1",2,2,"Stage_3",0,1
"APOE",2,3,"Stage_3",0,1
"ARID4B",2,8,"Stage_3",0,0
"FEZ1",2,2,"Stage_3",0,1
"FEZ2",2,2,"Stage_3",0,0
"GIT2",2,1,"Stage_3",0,0
"HMOX2",2,2,"Stage_3",0,0
"MAPT",2,6,"Stage_3",0,1
"MCFD2",2,1,"Stage_3",0,0
"MSN",2,4,"Stage_3",0,0
"NUDT4",2,1,"Stage_3",0,0
"PEBP1",2,2,"Stage_3",0,1
"PICALM",2,3,"Stage_3",0,0
"PRKCQ",2,17,"Stage_3",0,1
"PRKCZ",2,8,"Stage_3",0,0
"RPS6KB1",2,3,"Stage_3",0,0
"SELPLG",2,3,"Stage_3",0,1
"SSU72",2,1,"Stage_3",0,0
"BAG5",3,5,"Stage_3",0,0
"BCL2L2",3,5,"Stage_3",0,1
"CALML3",3,1,"Stage_3",0,1
"HIVEP2",3,5,"Stage_3",0,0
"LGALS3BP",3,9,"Stage_3",0,1
"PHKG2",3,6,"Stage_3",0,0
"TBK1",3,17,"Stage_3",0,0
"UBR2",3,10,"Stage_3",0,0
"ATF3",4,1,"Stage_3",0,1
"CCND1",4,1,"Stage_3",0,1
"FOSL2",4,1,"Stage_3",0,1
"JUN",4,7,"Stage_3",0,0
"NDOR1",4,1,"Stage_3",0,0
"NR3C1",4,4,"Stage_3",0,0
"PRKDC",4,35,"Stage_3",0,1
"RANBP9",4,7,"Stage_3",0,0
"SARS",4,20,"Stage_3",0,1
"TSC22D3",4,1,"Stage_3",0,1
"CASP2",5,1,"Stage_3",0,0
"ELL2",5,4,"Stage_3",0,0
"FEM1C",5,3,"Stage_3",0,1
"MED8",5,4,"Stage_3",0,0
"PHACTR2",5,3,"Stage_3",0,0
"PPM1F",5,2,"Stage_3",0,0
"TCEB1",5,9,"Stage_3",0,0
"C1QA",6,3,"Stage_3",0,1
