"node","comm","type","geneset","leftovers"
"ACTB",1,"Candidate","Stage_3",0
"ANXA6",1,"Candidate","Stage_3",0
"ATXN1",1,"Candidate","Stage_3",0
"EEF1A1",1,"Candidate","Stage_3",0
"ENO3",1,"Candidate","Stage_3",0
"FLNB",1,"Candidate","Stage_3",0
"GPC1",1,"Candidate","Stage_3",0
"KRT17",1,"Candidate","Stage_3",0
"PRKDC",1,"Candidate","Stage_3",0
"RUVBL1",1,"Candidate","Stage_3",0
"SAMD4A",1,"Candidate","Stage_3",0
"SARS",1,"Candidate","Stage_3",0
"TMEM16K",1,"Candidate","Stage_3",0
"TRPV4",1,"Candidate","Stage_3",0
"UACA",1,"Candidate","Stage_3",0
"YWHAE",1,"Candidate","Stage_3",0
"YWHAZ",1,"Candidate","Stage_3",0
"LACOSAMIDE",1,"EstablishedDrug","Stage_3",0
"AFF3",1,"Input Gene","Stage_3",0
"AP1S2",1,"Input Gene","Stage_3",0
"ARIH1",1,"Input Gene","Stage_3",0
"CFL2",1,"Input Gene","Stage_3",0
"CKAP4",1,"Input Gene","Stage_3",0
"DNAJA3",1,"Input Gene","Stage_3",0
"DPYSL2",1,"Input Gene","Stage_3",0
"ELL2",1,"Input Gene","Stage_3",0
"ERRFI1",1,"Input Gene","Stage_3",0
"GMFB",1,"Input Gene","Stage_3",0
"GTF3C4",1,"Input Gene","Stage_3",0
"HOXA5",1,"Input Gene","Stage_3",0
"IGBP1",1,"Input Gene","Stage_3",0
"KIAA1244",1,"Input Gene","Stage_3",0
"LRP1B",1,"Input Gene","Stage_3",0
"MAP2",1,"Input Gene","Stage_3",0
"MARCKS",1,"Input Gene","Stage_3",0
"MED8",1,"Input Gene","Stage_3",0
"MPRIP",1,"Input Gene","Stage_3",0
"MTF2",1,"Input Gene","Stage_3",0
"NDOR1",1,"Input Gene","Stage_3",0
"NIN",1,"Input Gene","Stage_3",0
"NR5A2",1,"Input Gene","Stage_3",0
"PHACTR2",1,"Input Gene","Stage_3",0
"PTPRE",1,"Input Gene","Stage_3",0
"RANBP9",1,"Input Gene","Stage_3",0
"RBFOX1",1,"Input Gene","Stage_3",0
"RQCD1",1,"Input Gene","Stage_3",0
"SASH1",1,"Input Gene","Stage_3",0
"SEC23A",1,"Input Gene","Stage_3",0
"SIP1",1,"Input Gene","Stage_3",0
"SLIT2",1,"Input Gene","Stage_3",0
"SORBS1",1,"Input Gene","Stage_3",0
"TFAP2A",1,"Input Gene","Stage_3",0
"TMOD3",1,"Input Gene","Stage_3",0
"TOB1",1,"Input Gene","Stage_3",0
"UBR2",1,"Input Gene","Stage_3",0
"WASF3",1,"Input Gene","Stage_3",0
"WIPF1",1,"Input Gene","Stage_3",0
"SF1126",1,"NovelDrug","Stage_3",0
"C1QA",2,"Candidate","Stage_3",0
"CFD",2,"Candidate","Stage_3",0
"COL2A1",2,"Candidate","Stage_3",0
"COL6A2",2,"Candidate","Stage_3",0
"IGLL1",2,"Candidate","Stage_3",0
"ISL1",2,"Candidate","Stage_3",0
"ITGA2B",2,"Candidate","Stage_3",0
"ITGA3",2,"Candidate","Stage_3",0
"ITGA5",2,"Candidate","Stage_3",0
"KIAA0232",2,"Candidate","Stage_3",0
"MEP1A",2,"Candidate","Stage_3",0
"PLAT",2,"Candidate","Stage_3",0
"PPHLN1",2,"Candidate","Stage_3",0
"SPARC",2,"Candidate","Stage_3",0
"TGFBI",2,"Candidate","Stage_3",0
"COLLAGENASE_CLOSTRIDIUM_HISTOLYTICUM",2,"EstablishedDrug","Stage_3",0
"ABCIXIMAB",2,"EstablishedDrug","Stage_3",0
"EPTIFIBATIDE",2,"EstablishedDrug","Stage_3",0
"GANTOFIBAN",2,"EstablishedDrug","Stage_3",0
"TIROFIBAN",2,"EstablishedDrug","Stage_3",0
"TRANEXAMIC_ACID",2,"EstablishedDrug","Stage_3",0
"UROKINASE",2,"EstablishedDrug","Stage_3",0
"FN1",2,"Input Gene","Stage_3",0
"HMOX2",2,"Input Gene","Stage_3",0
"ITGA1",2,"Input Gene","Stage_3",0
"PKD1",2,"Input Gene","Stage_3",0
"RABIF",2,"Input Gene","Stage_3",0
"RAP2C",2,"Input Gene","Stage_3",0
"TGM2",2,"Input Gene","Stage_3",0
"AS1409",2,"NovelDrug","Stage_3",0
"STANNSOPORFIN",2,"NovelDrug","Stage_3",0
"SAN_300",2,"NovelDrug","Stage_3",0
"F200",2,"NovelDrug","Stage_3",0
"CILENGITIDE",2,"NovelDrug","Stage_3",0
"GLPG0187",2,"NovelDrug","Stage_3",0
"JSM_6427",2,"NovelDrug","Stage_3",0
"BCL2L2",3,"Candidate","Stage_3",0
"FEM1C",3,"Candidate","Stage_3",0
"LGALS3BP",3,"Candidate","Stage_3",0
"BAG5",3,"Input Gene","Stage_3",0
"CASP2",3,"Input Gene","Stage_3",0
"HIVEP2",3,"Input Gene","Stage_3",0
"PPM1F",3,"Input Gene","Stage_3",0
"TCEB1",3,"Input Gene","Stage_3",0
"NAVITOCLAX__ABT_263",3,"NovelDrug","Stage_3",0
"ADCK1",4,"Candidate","Stage_3",0
"BCAP31",4,"Candidate","Stage_3",0
"BMP2K",4,"Candidate","Stage_3",0
"C12orf4",4,"Candidate","Stage_3",0
"CALML3",4,"Candidate","Stage_3",0
"DOK1",4,"Candidate","Stage_3",0
"FEZ1",4,"Candidate","Stage_3",0
"GRAP",4,"Candidate","Stage_3",0
"KIT",4,"Candidate","Stage_3",0
"LIMK2",4,"Candidate","Stage_3",0
"METTL1",4,"Candidate","Stage_3",0
"METTL2B",4,"Candidate","Stage_3",0
"PRKCQ",4,"Candidate","Stage_3",0
"SELPLG",4,"Candidate","Stage_3",0
"LINIFANIB",4,"EstablishedDrug","Stage_3",0
"AXITINIB",4,"EstablishedDrug","Stage_3",0
"DASATINIB",4,"EstablishedDrug","Stage_3",0
"LENVATINIB",4,"EstablishedDrug","Stage_3",0
"ENMD_2076",4,"EstablishedDrug","Stage_3",0
"IMATINIB",4,"EstablishedDrug","Stage_3",0
"MASITINIB",4,"EstablishedDrug","Stage_3",0
"MOTESANIB",4,"EstablishedDrug","Stage_3",0
"AMUVATINIB",4,"EstablishedDrug","Stage_3",0
"SORAFENIB",4,"EstablishedDrug","Stage_3",0
"SUNITINIB",4,"EstablishedDrug","Stage_3",0
"VATALANIB",4,"EstablishedDrug","Stage_3",0
"XL820",4,"EstablishedDrug","Stage_3",0
"XL999",4,"EstablishedDrug","Stage_3",0
"BRYOSTATIN",4,"EstablishedDrug","Stage_3",0
"BRYOSTATIN_1",4,"EstablishedDrug","Stage_3",0
"INGENOL_MEBUTATE",4,"EstablishedDrug","Stage_3",0
"ACVR1B",4,"Input Gene","Stage_3",0
"ANAPC7",4,"Input Gene","Stage_3",0
"ANK3",4,"Input Gene","Stage_3",0
"ARID4B",4,"Input Gene","Stage_3",0
"CRKL",4,"Input Gene","Stage_3",0
"CSNK1G3",4,"Input Gene","Stage_3",0
"FEZ2",4,"Input Gene","Stage_3",0
"HIPK1",4,"Input Gene","Stage_3",0
"HIPK3",4,"Input Gene","Stage_3",0
"KHDRBS1",4,"Input Gene","Stage_3",0
"MAP4K5",4,"Input Gene","Stage_3",0
"MAPK7",4,"Input Gene","Stage_3",0
"MCFD2",4,"Input Gene","Stage_3",0
"MSN",4,"Input Gene","Stage_3",0
"PHKG2",4,"Input Gene","Stage_3",0
"PICALM",4,"Input Gene","Stage_3",0
"PRKCZ",4,"Input Gene","Stage_3",0
"RPS6KA3",4,"Input Gene","Stage_3",0
"TBK1",4,"Input Gene","Stage_3",0
"ATG3",5,"Candidate","Stage_3",0
"NUP98",5,"Candidate","Stage_3",0
