"node1","node2","score"
"ACTB","ACVR1B",0.0538367
"ACTB","ADCK1",0.0459589
"ACTB","ANAPC7",0.0555959
"ACTB","ANXA6",0.275646
"ACTB","AP1S2",0.0910678
"ACTB","ARIH1",0.0459971
"ACTB","BAG5",0.122187
"ACTB","BCL2L2",0.0890772
"ACTB","BMP2K",0.0441835
"ACTB","CFL2",1
"ACTB","CKAP4",0.0448855
"ACTB","CSNK1G3",0.0443339
"ACTB","DNAJA3",0.0562985
"ACTB","DOK1",0.0509997
"ACTB","DPYSL2",0.229416
"ACTB","EEF1A1",0.62347
"ACTB","ENO3",0.176328
"ACTB","FLNB",0.0767775
"ACTB","HIPK1",0.0563066
"ACTB","HIVEP2",0.12215
"ACTB","KIAA1244",0.107326
"ACTB","KIT",0.0481516
"ACTB","LGALS3BP",0.0722702
"ACTB","LIMK2",0.0621971
"ACTB","LRP1B",0.0550849
"ACTB","MAP2",0.58857
"ACTB","MAP4K5",0.0591919
"ACTB","MAPK7",0.28083
"ACTB","MAPT",0.619753
"ACTB","MARCKS",0.074428
"ACTB","METTL2B",0.0480598
"ACTB","MPRIP",0.0415021
"ACTB","NIN",0.0697451
"ACTB","PHACTR2",0.0647434
"ACTB","PRKCQ",0.0525994
"ACTB","PRKDC",0.0418814
"ACTB","PTPRE",0.0718487
"ACTB","RANBP9",0.0459339
"ACTB","RPS6KA3",0.304966
"ACTB","RQCD1",0.261763
"ACTB","RUVBL1",0.599063
"ACTB","SARS",0.046196
"ACTB","SORBS1",0.515513
"ACTB","TBK1",0.0469014
"ACTB","TCEB1",0.0497564
"ACTB","TGM2",0.616837
"ACTB","TMOD3",0.288024
"ACTB","TRPV4",0.0543419
"ACTB","WASF3",0.470943
"ACTB","WIPF1",1
"ACTB","YWHAE",0.397731
"ACTB","YWHAZ",1
"ACVR1B","ADCK1",0.0921912
"ACVR1B","ANAPC7",0.147742
"ACVR1B","BMP2K",0.0769864
"ACVR1B","CSNK1G3",0.0783359
"ACVR1B","DOK1",0.12356
"ACVR1B","HIPK1",0.156745
"ACVR1B","KIT",0.104548
"ACVR1B","LIMK2",0.168807
"ACVR1B","MAP4K5",0.173852
"ACVR1B","PRKCQ",0.125987
"ACVR1B","PRKDC",0.0608993
"ACVR1B","RPS6KA3",0.0829228
"ACVR1B","TBK1",0.0868651
"ADCK1","ANAPC7",0.0909435
"ADCK1","BMP2K",0.35489
"ADCK1","CSNK1G3",0.0569296
"ADCK1","DOK1",0.0773572
"ADCK1","GRAP",0.0691084
"ADCK1","HIPK1",0.0959539
"ADCK1","HIPK3",0.0723621
"ADCK1","KIT",0.0690093
"ADCK1","LIMK2",0.102914
"ADCK1","MAP4K5",0.102603
"ADCK1","PRKCQ",0.0793822
"ADCK1","PRKDC",0.0482839
"ADCK1","RPS6KA3",0.058723
"ADCK1","TBK1",0.0609026
"ADCK1","YWHAE",0.0540859
"ADRBK1","GIT2",1
"ADRBK1","PEBP1",1
"AFF3","RQCD1",0.349466
"ALG1","GUK1",0.613393
"ANAPC7","BMP2K",0.0759709
"ANAPC7","C12orf4",1
"ANAPC7","CSNK1G3",0.0772946
"ANAPC7","DOK1",0.119167
"ANAPC7","HIPK1",0.150871
"ANAPC7","KIT",0.101057
"ANAPC7","LIMK2",0.162423
"ANAPC7","MAP4K5",0.16726
"ANAPC7","PRKCQ",0.121482
"ANAPC7","PRKDC",0.0595409
"ANAPC7","RPS6KA3",0.0818007
"ANAPC7","TBK1",0.0842474
"ANK3","CRKL",1
"ANXA6","CFL2",0.0918472
"ANXA6","EEF1A1",0.046865
"ANXA6","FLNB",0.067555
"ANXA6","GMFB",0.0914871
"ANXA6","KRT17",0.0673564
"ANXA6","MPRIP",0.0542077
"ANXA6","PRKDC",0.0481985
"ANXA6","RUVBL1",0.0484387
"ANXA6","TMOD3",0.0533618
"ANXA6","UACA",0.116521
"AP1S2","EEF1A1",0.0476023
"APOE","MAP2",0.619931
"APOE","MAPT",1
"APOE","NUDT4",0.33938
"ARHGDIB","RHOBTB1",1
"ARHGDIG","RHOBTB1",1
"ARID4B","BCAP31",0.473709
"ARID4B","CRKL",0.11577
"ARID4B","MAPT",0.455413
"ARID4B","MCFD2",0.105323
"ARID4B","MSN",0.251945
"ARID4B","PICALM",0.51575
"ARID4B","PRKCZ",0.473966
"ARID4B","SLIT2",0.0885875
"ARIH1","EEF1A1",0.0481105
"ARIH1","RUVBL1",0.0489844
"ATF3","JUN",1
"ATG3","EEF1A1",0.0454204
"ATG3","NUP98",0.302978
"ATG3","WDFY3",0.527005
"ATXN1","DNAJA3",1
"ATXN1","RBFOX1",1
"ATXN1","YWHAE",1
"ATXN1","YWHAZ",1
"BAG5","BCL2L2",0.334917
"BAG5","DNAJA3",0.16634
"BAG5","HIVEP2",0.465032
"BAG5","LGALS3BP",0.267197
"BCAP31","MSN",0.627503
"BCAP31","YWHAZ",1
"BCL11A","HNF1A",0.28207
"BCL11A","KIF13B",0.455609
"BCL11A","POU2F3",0.490621
"BCL11A","PPAP2B",0.385402
"BCL11A","UTP6",0.412685
"BCL2L2","DNAJA3",0.117447
"BCL2L2","HIVEP2",0.388391
"BCL2L2","LGALS3BP",0.199356
"BCL2L7P1","MYCBP2",1
"BMP2K","CSNK1G3",0.620882
"BMP2K","DOK1",0.0694666
"BMP2K","EEF1A1",0.0394987
"BMP2K","GRAP",0.602483
"BMP2K","HIPK1",0.0830479
"BMP2K","HIPK3",0.0674651
"BMP2K","KIT",0.062109
"BMP2K","LIMK2",0.097006
"BMP2K","MAP4K5",0.0929247
"BMP2K","METTL2B",0.112314
"BMP2K","PHKG2",0.0652992
"BMP2K","PICALM",0.100523
"BMP2K","PRKCQ",0.0686912
"BMP2K","PRKDC",0.0461117
"BMP2K","RPS6KA3",0.0537224
"BMP2K","TBK1",0.0563862
"BMP2K","YWHAE",0.203084
"C1QA","COL2A1",1
"C1QA","FN1",1
"C1QA","HIPK3",1
"CALML3","PHKG2",1
"CASP2","FEM1C",1
"CCND1","JUN",1
"CFD","FN1",0.140154
"CFD","KIAA0232",0.465682
"CFL2","EEF1A1",0.0518565
"CFL2","FLNB",0.110159
"CFL2","GMFB",0.166947
"CFL2","KRT17",0.0965834
"CFL2","LIMK2",1
"CFL2","MPRIP",0.0755321
"CFL2","PRKDC",0.0598881
"CFL2","RUVBL1",0.0556522
"CFL2","TMOD3",0.0691615
"CFL2","UACA",0.205367
"CKAP4","DNAJA3",0.0666822
"CKAP4","EEF1A1",0.0618131
"CKAP4","KRT17",0.0740693
"CKAP4","LRP1B",0.11041
"CKAP4","MPRIP",0.0505888
"CKAP4","PLAT",0.624525
"CKAP4","RANBP9",0.0687406
"CKAP4","YWHAE",0.257373
"CKAP4","YWHAZ",0.273024
"CLASP1","NADK",0.257723
"CLASP1","NUP98",1
"CLASP1","RAB11FIP2",0.279975
"CLASP1","RASSF8",0.187052
"CLASP1","YWHAZ",0.100598
"COL2A1","FN1",1
"COL2A1","ITGA2B",1
"COL2A1","PKD1",1
"COL2A1","SPARC",0.462551
"COL2A1","TGFBI",0.632319
"COL6A2","FN1",0.628349
"CPA5","RECK",1
"CRKL","DOK1",1
"CRKL","IFNAR1",0.525131
"CRKL","KIT",1
"CRKL","MAP4K5",1
"CRKL","SLIT2",0.0979249
"CRKL","WIPF1",1
"CSNK1G3","DOK1",0.0699524
"CSNK1G3","EEF1A1",0.0653784
"CSNK1G3","GRAP",0.0859337
"CSNK1G3","HIPK1",0.0846202
"CSNK1G3","KIT",0.0618222
"CSNK1G3","LIMK2",0.0887872
"CSNK1G3","MAP4K5",0.0914716
"CSNK1G3","METTL1",0.154913
"CSNK1G3","METTL2B",0.111971
"CSNK1G3","PHKG2",0.0879572
"CSNK1G3","PRKCQ",0.0697857
"CSNK1G3","PRKDC",0.0463865
"CSNK1G3","RPS6KA3",0.0566283
"CSNK1G3","TBK1",0.0598431
"CSNK1G3","TMEM16K",0.0884757
"CSNK1G3","YWHAE",0.0706407
"DNAJA3","EEF1A1",0.129077
"DNAJA3","GTF3C4",0.0515286
"DNAJA3","HIVEP2",0.166139
"DNAJA3","KRT17",0.060518
"DNAJA3","LGALS3BP",0.0902765
"DNAJA3","NUP98",0.107054
"DNAJA3","PRKDC",0.0452524
"DNAJA3","RUVBL1",0.0445949
"DNAJA3","SARS",0.046868
"DNAJA3","SLIT2",0.0551451
"DNAJA3","TMEM16K",0.0645202
"DNAJA3","UBR2",0.051286
"DNAJA3","YWHAE",0.170634
"DNAJA3","YWHAZ",0.0526441
"DOK1","HIPK1",0.130094
"DOK1","KIT",1
"DOK1","LIMK2",0.140668
"DOK1","MAP4K5",0.160095
"DOK1","PRKCQ",0.106585
"DOK1","PRKDC",0.0555974
"DOK1","RPS6KA3",0.0737643
"DOK1","TBK1",0.0807964
"DPYSL2","EEF1A1",0.0495804
"DPYSL2","KIAA1244",0.218109
"DPYSL2","MAP2",0.306486
"DPYSL2","MARCKS",0.122181
"DPYSL2","NIN",0.112425
"DPYSL2","PTPRE",0.10773
"DPYSL2","SARS",0.0558545
"DPYSL2","WIPF1",0.388388
"DPYSL2","YWHAE",0.0505633
"DPYSL2","YWHAZ",0.245369
"EEF1A1","ELL2",0.0593863
"EEF1A1","ENO3",0.159622
"EEF1A1","FLNB",0.223695
"EEF1A1","GMFB",0.0534708
"EEF1A1","GTF3C4",0.0462046
"EEF1A1","KIAA1244",0.101667
"EEF1A1","KRT17",0.233577
"EEF1A1","MAP2",0.0470615
"EEF1A1","MARCKS",0.0670043
"EEF1A1","MED8",0.0547613
"EEF1A1","METTL2B",0.0481634
"EEF1A1","MPRIP",0.0421747
"EEF1A1","MTF2",0.0856539
