pathway,escore,pathwaySize,overlap,overlapList,keep,isSignificant
REACTOME_REGULATION_OF_INSULIN_SECRETION_BY_ACETYLCHOLINE,0.003844229,11,1,MARCKS,1,0
REACTOME_CRMPS_IN_SEMA3A_SIGNALING,0.004890454,14,1,DPYSL2,1,0
BIOCARTA_AKAPCENTROSOME_PATHWAY,0.005238986,15,1,MAP2,1,0
BIOCARTA_CALCINEURIN_PATHWAY,0.007327984,21,1,MARCKS,1,0
BIOCARTA_TOB1_PATHWAY,0.007327984,21,1,TOB1,1,0
REACTOME_RECYCLING_PATHWAY_OF_L1,0.00941322,27,1,DPYSL2,1,0
PID_IL6_7PATHWAY,0.016336914,47,1,PTPRE,1,0
PID_LKB1_PATHWAY,0.016336914,47,1,MAP2,1,0
REACTOME_SEMAPHORIN_INTERACTIONS,0.02356211,68,1,DPYSL2,1,0
REACTOME_L1CAM_INTERACTIONS,0.029718882,86,1,DPYSL2,1,0
REACTOME_REGULATION_OF_INSULIN_SECRETION,0.032104179,93,1,MARCKS,1,0
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.033464948,97,1,MARCKS,1,0
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,0.041257593,120,1,MARCKS,1,0
KEGG_AXON_GUIDANCE,0.044292195,129,1,DPYSL2,1,0
