pathway,escore,pathwaySize,overlap,overlapList,keep,isSignificant,ommunity
BIOCARTA_PS1_PATHWAY,0.00419318,14,1,HNF1A,1,0,12
BIOCARTA_MAL_PATHWAY,0.005687189,19,1,HNF1A,1,0,12
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS,0.005985766,20,1,HNF1A,1,0,12
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,0.007477533,25,1,HNF1A,1,0,12
BIOCARTA_GH_PATHWAY,0.008371698,28,1,HNF1A,1,0,12
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,0.008967434,30,1,HNF1A,1,0,12
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,0.009265191,31,1,PPAP2B,1,0,12
KEGG_ETHER_LIPID_METABOLISM,0.00986048,33,1,PPAP2B,1,0,12
PID_ARF6_PATHWAY,0.010455471,35,1,KIF13B,1,0,12
BIOCARTA_ALK_PATHWAY,0.011050164,37,1,HNF1A,1,0,12
KEGG_SPHINGOLIPID_METABOLISM,0.011941645,40,1,PPAP2B,1,0,12
PID_HNF3BPATHWAY,0.013425959,45,1,HNF1A,1,0,12
PID_PS1PATHWAY,0.013722598,46,1,HNF1A,1,0,12
KEGG_GLYCEROLIPID_METABOLISM,0.014612072,49,1,PPAP2B,1,0,12
REACTOME_SPHINGOLIPID_METABOLISM,0.020524825,69,1,PPAP2B,1,0,12
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.022881633,77,1,PPAP2B,1,0,12
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.028752987,97,1,PPAP2B,1,0,12
REACTOME_PHOSPHOLIPID_METABOLISM,0.057956178,198,1,PPAP2B,1,0,12
