"pathway","escore","pathwaySize","overlap","overlapList","keep","isSignificant"
"REACTOME_ACTIVATION_OF_RAC",0.00289977043822859,14,2,"GPC1  SLIT2",1,0
"REACTOME_COMMON_PATHWAY",0.00289977043822859,14,2,"PROC  THBD",1,0
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION",0.00481465132367064,188,5,"ALG1  EDEM3  EIF5A2  MGAT5  PROC",1,0
"PID_GLYPICAN_1PATHWAY",0.0106488830176585,27,2,"GPC1  SLIT2",1,0
"REACTOME_PTM_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION",0.0106488830176585,27,2,"EIF5A2  PROC",1,0
"REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION",0.011684592213368,81,3,"ALG1  EDEM3  MGAT5",1,0
"REACTOME_SIGNALING_BY_ROBO_RECEPTOR",0.0130491676531582,30,2,"GPC1  SLIT2",1,0
"REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE",0.0147676041894235,32,2,"PROC  THBD",1,0
"REACTOME_PHOSPHOLIPID_METABOLISM",0.0283041500626865,198,4,"COL4A3BP  MBOAT2  PIKFYVE  SYNJ1",1,0
"KEGG_N_GLYCAN_BIOSYNTHESIS",0.0292412964199358,46,2,"ALG1  MGAT5",1,0
"REACTOME_PI_METABOLISM",0.031631829814469,48,2,"PIKFYVE  SYNJ1",1,0
"KEGG_INOSITOL_PHOSPHATE_METABOLISM",0.0392418928487117,54,2,"PIKFYVE  SYNJ1",1,0
"BIOCARTA_RNA_PATHWAY",0.0565217656749069,10,1,"DNAJC3",1,0
"REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM",0.0565217656749069,10,1,"GUK1",1,0
"REACTOME_PROSTANOID_LIGAND_RECEPTORS",0.0565217656749069,10,1,"PTGER4",1,0
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_LATE_ENDOSOME_MEMBRANE",0.0565217656749069,10,1,"PIKFYVE",1,0
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.060855075960993,69,2,"PROC  THBD",1,0
"REACTOME_CALNEXIN_CALRETICULIN_CYCLE",0.0619966768895993,11,1,"EDEM3",1,0
"REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS",0.0619966768895993,11,1,"PROC",1,0
"REACTOME_SIGNALING_BY_ACTIVATED_POINT_MUTANTS_OF_FGFR1",0.0619966768895993,11,1,"FGF1",1,0
"REACTOME_SIGNALING_BY_FGFR3_MUTANTS",0.0619966768895993,11,1,"FGF1",1,0
"REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION",0.0674400900408735,12,1,"FGF1",1,0
"REACTOME_FGFR4_LIGAND_BINDING_AND_ACTIVATION",0.0674400900408735,12,1,"FGF1",1,0
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE",0.0674400900408735,12,1,"PIKFYVE",1,0
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0.0720455471200738,76,2,"PIKFYVE  SYNJ1",1,0
"BIOCARTA_EXTRINSIC_PATHWAY",0.0728521847754765,13,1,"PROC",1,0
"KEGG_CIRCADIAN_RHYTHM_MAMMAL",0.0728521847754765,13,1,"BHLHE41",1,0
"REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE",0.0728521847754765,13,1,"EDEM3",1,0
"REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION",0.0782331397244959,14,1,"FGF1",1,0
"REACTOME_N_GLYCAN_ANTENNAE_ELONGATION",0.0782331397244959,14,1,"MGAT5",1,0
"REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GIP",0.0782331397244959,14,1,"GATA4",1,0
"BIOCARTA_CD40_PATHWAY",0.083583132509043,15,1,"DUSP1",1,0
"REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2",0.0889023397459183,16,1,"FGF1",1,0
"REACTOME_EICOSANOID_LIGAND_BINDING_RECEPTORS",0.0889023397459183,16,1,"PTGER4",1,0
"REACTOME_GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION",0.0941909370532377,17,1,"SLC6A1",1,0
"REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS",0.0941909370532377,17,1,"SLC6A1",1,0
"REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE",0.0941909370532377,17,1,"PIKFYVE",1,0
"REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL",0.0979785803859232,91,2,"PROC  THBD",1,0
"BIOCARTA_TNFR2_PATHWAY",0.0994490990560315,18,1,"DUSP1",1,0
"REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI",0.0994490990560315,18,1,"MGAT5",1,0
