"pathway","escore","pathwaySize","overlap","overlapList","keep","isSignificant"
"KEGG_INSULIN_SIGNALING_PATHWAY",0.0012695248405126,137,2,"CALML3  PHKG2",1,0
"KEGG_CALCIUM_SIGNALING_PATHWAY",0.00212915009731534,178,2,"CALML3  PHKG2",1,0
"REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON",0.00558727464275222,14,1,"TBK1",1,0
"REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY",0.00558727464275222,14,1,"TBK1",1,0
"REACTOME_GLYCOGEN_BREAKDOWN_GLYCOGENOLYSIS",0.0071786131739664,18,1,"PHKG2",1,0
"REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION",0.0119392672128888,30,1,"TBK1",1,0
"REACTOME_NEGATIVE_REGULATORS_OF_RIG_I_MDA5_SIGNALING",0.0123350852330341,31,1,"TBK1",1,0
"KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY",0.0221855497844301,56,1,"TBK1",1,0
"KEGG_GLIOMA",0.0257106131807632,65,1,"CALML3",1,0
"REACTOME_GLUCOSE_METABOLISM",0.0272737353988902,69,1,"PHKG2",1,0
"KEGG_LONG_TERM_POTENTIATION",0.0276641729141582,70,1,"CALML3",1,0
"KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.0280544732963303,71,1,"TBK1",1,0
"REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS",0.0288346628265214,73,1,"TBK1",1,0
"REACTOME_TRIF_MEDIATED_TLR3_SIGNALING",0.0292245520570823,74,1,"TBK1",1,0
"KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM",0.0300039196554122,76,1,"CALML3",1,0
"REACTOME_ACTIVATED_TLR4_SIGNALLING",0.0366064704846615,93,1,"TBK1",1,0
"KEGG_GNRH_SIGNALING_PATHWAY",0.0396999222806961,101,1,"CALML3",1,0
"KEGG_MELANOGENESIS",0.040085991963683,102,1,"CALML3",1,0
"KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY",0.040085991963683,102,1,"TBK1",1,0
"KEGG_OOCYTE_MEIOSIS",0.0447082461352251,114,1,"CALML3",1,0
"KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION",0.0450925533881127,115,1,"CALML3",1,0
"REACTOME_TOLL_RECEPTOR_CASCADES",0.0462446635974756,118,1,"TBK1",1,0
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",0.0493110133073592,126,1,"CALML3",1,0
"PID_P53DOWNSTREAMPATHWAY",0.0535131579435479,137,1,"BCL2L2",1,0
"KEGG_ALZHEIMERS_DISEASE",0.0656453136625358,169,1,"CALML3",1,0
"REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION",0.0817335172517599,212,1,"UBR2",1,0
"REACTOME_METABOLISM_OF_CARBOHYDRATES",0.0946490955153152,247,1,"PHKG2",1,0
