SNP	gene	beta	t-stat	p-value	FDR
hsa-mir-940	FAM86A	133.364455708734	4.31849193093769	9.71695235532897e-05	0.0228348380350231
hsa-mir-940	TFAP4	165.791298705313	3.96836828550844	0.000284494331361562	0.0310936438583407
hsa-mir-429	PRKCZ	3.08422764670296	3.81633436664555	0.000449188551271871	0.0310936438583407
hsa-mir-940	ALG1	233.576162728509	3.72259196196993	0.000593318452701562	0.0310936438583407
hsa-mir-940	HMOX2	213.780726431925	3.68566754476643	0.000661566890602994	0.0310936438583407
hsa-mir-940	DNAJA3	361.225997180579	3.51936536147206	0.00107442295226534	0.0392096326029188
hsa-mir-429	SSU72	7.41107341357113	3.45582705586078	0.0012899276153476	0.0392096326029188
hsa-mir-484	C16orf93	3.93553197549583	3.44388719608307	0.00133479600350362	0.0392096326029188
hsa-mir-429	NADK	4.62595057456195	3.38235097107652	0.00159071502833678	0.0394975553576384
hsa-mir-484	PHKG2	24.7852697437369	3.36293526298784	0.00168074703649525	0.0394975553576384
hsa-mir-484	PRSS36	2.47007905434203	3.28417898697383	0.00209824377870999	0.0448261170906225
hsa-mir-429	MRPL20	3.72904405870057	3.24305538988434	0.00235372378357284	0.0460937574283014
hsa-mir-940	DNASE1	166.967834055052	3.1823417567119	0.00278543529015772	0.0503520994759281
hsa-mir-484	FUS	175.351103551527	3.14480922307949	0.00308874026006222	0.0518467115081872
hsa-mir-484	ZNF668	10.7576510246666	3.07191463639883	0.00376907704088199	0.0590488736404845
hsa-mir-484	CD2BP2	46.1761407211656	2.97878776950265	0.00484445629671453	0.0687884157380881
hsa-mir-147b	AP3S2	270.219809284988	2.94359008356377	0.00532124264435458	0.0687884157380881
hsa-mir-484	TBC1D10B	46.033919880248	2.93348089086332	0.00546609754897401	0.0687884157380881
hsa-mir-1976	MAGOH	-77.251746671455	-2.92695103625262	0.0055616165915901	0.0687884157380881
hsa-mir-147b	RCCD1	68.717948800943	2.83154059482821	0.00714760924125504	0.0814206446127872
hsa-mir-429	CDK11B	3.62976773094823	2.82471411037738	0.00727588739092992	0.0814206446127872
hsa-mir-484	ZNF764	6.56314997823657	2.75430737882252	0.00872966548511859	0.0859675868056279
hsa-mir-1976	ZYG11B	-69.5304064729965	-2.73671424121962	0.00913278826409734	0.0859675868056279
hsa-mir-484	PRSS8	422.708153041684	2.73432736088096	0.00918878867676194	0.0859675868056279
hsa-mir-429	MIB2	1.90159580423924	2.72362829743977	0.00944373243150552	0.0859675868056279
hsa-mir-429	SLC35E2	7.16151717217404	2.72083721261047	0.00951130747636734	0.0859675868056279
hsa-mir-940	ANKS3	57.6783228488159	2.70181658064186	0.00998384949636295	0.0868964678387146
hsa-mir-484	ARMC5	14.5853601016712	2.68575100041326	0.0103997655359201	0.0872837464621864
hsa-mir-484	PRR14	32.409065773711	2.61894570228306	0.0123062963559648	0.0997234359879907
hsa-mir-940	CORO7	212.796340941529	2.58621609204347	0.0133531088382733	0.103454709365456
hsa-mir-429	CDK11A	2.10024343498544	2.57744404285838	0.0136472169801239	0.103454709365456
hsa-mir-940	C16orf71	1.89830633617318	2.51458609556457	0.0159343099780117	0.117017588901023
hsa-mir-1976	FAM159A	1.79095895885263	2.36572361038389	0.0228047532318495	0.160747974632615
hsa-mir-1976	BTF3L4	-63.0111647808859	-2.34911808642162	0.0237173004054524	0.160747974632615
hsa-mir-1976	PRPF38A	-85.5193835573405	-2.34513195672688	0.0239411877112405	0.160747974632615
hsa-mir-940	VASN	53.0336532702739	2.32240637149498	0.0252542785443765	0.164854318275791
hsa-mir-1976	GPX7	-28.0397330821149	-2.29863562857492	0.0266965626201514	0.168023336732954
hsa-mir-217	BUB1	-15.1038200251878	-2.29108754550186	0.0271697310461798	0.168023336732954
hsa-mir-217	FBLN7	0.428154356243478	2.19335509301612	0.0340090921020707	0.204926580615042
hsa-mir-940	GLYR1	314.036375763366	2.17732995722417	0.0352657901834641	0.207186517327852
hsa-mir-1976	KTI12	-16.8482785234333	-2.13091698704321	0.0391402327294101	0.218139808450276
hsa-mir-1976	TXNDC12	-196.022030558335	-2.11031080812192	0.0409773452512742	0.218139808450276
hsa-mir-940	MGRN1	191.607993283842	2.10840193848653	0.0411513021105906	0.218139808450276
hsa-mir-147b	WDR93	3.15656381914387	2.09976471386223	0.041946550583687	0.218139808450276
hsa-mir-147b	BLM	61.5280445287885	2.0965116750607	0.0422495427435092	0.218139808450276
hsa-mir-940	PPL	345.197264266924	2.09171612096234	0.0426997071860116	0.218139808450276
hsa-mir-940	NAGPA	65.4209690577	2.07480411904912	0.0443209842880678	0.221546902768824
hsa-mir-1976	LRP8	-78.3996318086089	-2.06533432242811	0.0452521333315044	0.221546902768824
