V1,V2
BMPR1B,SMAD1
BMPR1B,NOTCH1
BMPR1B,SMAD4
BMPR1B,JUND
BMPR1B,SMAD7
BMPR1B,PMF1
BMPR1B,GDF9
BMPR1B,CDK4
BMPR1B,BMP2
BMPR1B,BMPR2
BMPR1B,RBL1
BMPR1B,SMAD9
BMPR1B,LZTR1
BMPR1B,SMAD5
BMPR1B,CCNE1
BMPR1B,BMP7
BMPR1B,NKIRAS1
BMPR1B,BMP4
BMPR1B,SNX6
BMPR1B,RASD2
BMPR1B,RHOD
BMPR1B,RAB38
BMPR1B,RHEBL1
BMPR1B,SMAD6
BMPR1B,FBXO34
BMPR1B,CDK14
BMPR1B,USP45
BMPR1B,STAMBP
BMPR1B,STK35
BMPR1B,TTC17
BMPR1B,GDF5
BMPR1B,BMP6
BMPR1B,BMP15
EP300,SMAD1
EP300,TP53
EP300,ING5
EP300,PELP1
EP300,NOTCH1
EP300,SREBF2
EP300,CCND1
EP300,ALX1
EP300,SMAD2
EP300,IRF1
EP300,IRF2
EP300,CREBBP
EP300,CITED1
EP300,BCL6
EP300,STAT6
EP300,RAD51
EP300,ZBTB17
EP300,SMAD4
EP300,TSG101
EP300,STAT4
EP300,STAT2
EP300,GATA4
EP300,JMY
EP300,MDM2
EP300,SMAD3
EP300,AR
EP300,JUN
EP300,CREB1
EP300,ATF3
EP300,BRCA1
EP300,ETS1
EP300,TTLL9
EP300,NCOA1
EP300,CLOCK
EP300,HDAC7
EP300,TCF3
EP300,ZEB1
EP300,PAX6
EP300,UBE2I
EP300,ENSG00000206088
EP300,HNF1A
EP300,SMAD7
EP300,YY1
EP300,GLI2
EP300,ENSG00000215693
EP300,NCOA2
EP300,ARNT
EP300,SP1
EP300,CEBPB
EP300,KLF2
EP300,CTBP2
EP300,NAGA
EP300,CTBP1
EP300,SENP3
EP300,GTF2B
EP300,PML
EP300,MDM4
EP300,SNIP1
EP300,BMP2
EP300,NFATC1
EP300,PROX1
EP300,TWIST1
EP300,RBL2
EP300,RUNX1
EP300,ZBTB16
EP300,TAL1
EP300,TCF4
EP300,LEF1
EP300,RUNX2
EP300,MITF
EP300,PPARA
EP300,MYBL2
EP300,RB1
EP300,RORA
EP300,COPS6
EP300,TCF7L2
EP300,MAF
EP300,MAML1
EP300,ELK1
EP300,CDX2
EP300,PPARG
EP300,MEF2A
EP300,NFATC2
EP300,PIAS3
EP300,SUV39H1
EP300,HAND2
EP300,GATA6
EP300,HOXB2
EP300,NCOA6
EP300,ASCL1
EP300,MEF2C
EP300,MEF2D
EP300,HOXD4
EP300,N4BP2
EP300,MGMT
EP300,E2F5
EP300,DLX2
EP300,HOXC6
EP300,EMX1
EP300,EMX2
EP300,TCF12
EP300,HIF1A
EP300,ENSG00000153807
EP300,GABPA
EP300,NFYB
EP300,PAX8
EP300,MYOD1
EP300,NR2F2
EP300,SUB1
EP300,AHR
EP300,NR4A1
EP300,NPAS2
EP300,TGS1
EP300,ENSG00000173959
EP300,ETS2
EP300,GPS2
EP300,PPARD
EP300,NEIL2
EP300,ESR1
EP300,NEUROD1
EP300,TRIP4
EP300,OLIG2
EP300,DTX1
EP300,ARNTL
EP300,TDG
EP300,TRERF1
EP300,NTAN1
EP300,NUPR1
EP300,HOXB1
EP300,EPAS1
EP300,HOXB6
EP300,POU3F2
EP300,EBF1
EP300,ETV1
EP300,ZNF148
EP300,PXMP2
EP300,ENSG00000180733
EP300,FBXO33
EP300,ST14
EP300,RUNX3
EP300,SP3
EP300,GATA2
EP300,SS18L1
EP300,HIPK2
EP300,TACC2
EP300,ZNF76
EP300,CITED2
EP300,CITED4
EP300,TP73
EP300,USF2
EP300,HIF1AN
EP300,WRB
EP300,ZFPM2
EP300,AGAP1
EP300,ABCC9
EP300,DBP
EP300,CRX
EP300,ENSG00000120087
EP300,HOXB3
EP300,ETV4
EP300,GPBP1
EP300,HOXB4
FAM60A,CDX2
FAM60A,PMS2CL
FAM60A,PMS2
SAP30,SIN3A
SAP30,SAP130
SAP30,RBBP4
SAP30,OGT
SAP30,NCOR2
SAP30,YY1
SAP30,NCOR1
SAP30,BRMS1
SAP30,CDK4
SAP30,CDKN2A
SAP30,GTF2B
SAP30,IFIT1
SAP30,LPCAT1
SAP30,LRCH4
SAP30,PML
SAP30,SAP25
SAP30,TTLL12
SAP30,ZC3HAV1
SAP30,MXD1
SAP30,HDAC3
SAP30,CIR1
SAP30,HTT
SAP30,PHF12
SAP30,SIN3B
SAP30,IFIT3
SIN3A,SAP130
SIN3A,TBL1XR1
SIN3A,TP53
SIN3A,RBBP4
SIN3A,OGT
SIN3A,PARP12
SIN3A,ASH2L
SIN3A,SPTLC2
SIN3A,BCL6
SIN3A,HDAC4
SIN3A,MAPK8IP3
SIN3A,TFDP1
SIN3A,TFDP2
SIN3A,ENSG00000188223
SIN3A,E2F4
SIN3A,LIN54
SIN3A,ARHGAP35
SIN3A,MTA1
SIN3A,RXRA
SIN3A,LSM1
SIN3A,AR
SIN3A,THRB
SIN3A,ATF7
SIN3A,HDAC7
SIN3A,SAE1
SIN3A,KDM1A
SIN3A,KDM2A
SIN3A,ARNT2
SIN3A,CSMD1
SIN3A,DNAH9
SIN3A,SETDB1
SIN3A,HDAC9
SIN3A,HELZ2
SIN3A,DROSHA
SIN3A,EHMT1
SIN3A,EIF2AK3
SIN3A,ELF1
SIN3A,ERCC5
SIN3A,HDAC5
SIN3A,HSF4
SIN3A,IDI2
SIN3A,KIF13B
SIN3A,LPAR4
SIN3A,MTMR6
SIN3A,NCOR2
SIN3A,NKRF
SIN3A,HNF1A
SIN3A,SPEN
SIN3A,TNFRSF8
SIN3A,TRAF3IP3
SIN3A,OSR1
SIN3A,PCDH9
SIN3A,POU2F3
SIN3A,UTP6
SIN3A,WDR35
SIN3A,YY1
SIN3A,ZMYND8
SIN3A,NCOR1
SIN3A,RARA
SIN3A,DNMT3B
SIN3A,SP1
SIN3A,KLF11
SIN3A,CTBP1
