miRNA Name	Gene Symbol
hsa-miR-940	SLC12A5
hsa-miR-940	CAMSAP2
hsa-miR-940	PDZRN3
hsa-miR-940	RANBP10
hsa-miR-940	SV2B
hsa-miR-940	STMN2
hsa-miR-940	KIAA0930
hsa-miR-940	MOB3B
hsa-miR-940	EI24
hsa-miR-940	TOM1L2
hsa-miR-940	RAB9B
hsa-miR-940	SMARCD1
hsa-miR-940	C2orf68
hsa-miR-940	VANGL1
hsa-miR-940	ARF3
hsa-miR-940	PAPD7
hsa-miR-940	ZBTB47
hsa-miR-940	ETF1
hsa-miR-940	TTYH2
hsa-miR-940	TINF2
hsa-miR-940	ADAMTSL4
hsa-miR-940	KIAA0355
hsa-miR-940	DCAF10
hsa-miR-940	EPM2AIP1
hsa-miR-940	ZNF608
hsa-miR-940	ZNF609
hsa-miR-940	TBC1D9B
hsa-miR-940	CORO1C
hsa-miR-940	BAIAP2
hsa-miR-940	TMEM201
hsa-miR-940	ASXL1
hsa-miR-940	CADM2
hsa-miR-940	YWHAQ
hsa-miR-940	AMFR
hsa-miR-940	HLF
hsa-miR-940	PCCB
hsa-miR-940	STARD3
hsa-miR-940	ATP1B2
hsa-miR-940	SNPH
hsa-miR-940	SCN4A
hsa-miR-940	CCDC136
hsa-miR-940	WWC3
hsa-miR-940	FAM120C
hsa-miR-940	ABCD3
hsa-miR-940	MAPKBP1
hsa-miR-940	PDXK
hsa-miR-940	ARHGAP1
hsa-miR-940	STEAP2
hsa-miR-940	SLC24A2
hsa-miR-940	FAM134A
hsa-miR-940	PFKFB2
hsa-miR-940	SLC24A3
hsa-miR-940	PTK2B
hsa-miR-940	USP9X
hsa-miR-940	ATE1
hsa-miR-940	PXMP4
hsa-miR-940	EFNA1
hsa-miR-940	SLC2A4
hsa-miR-940	GALNT13
hsa-miR-940	INPP5B
hsa-miR-940	LPIN1
hsa-miR-940	ZNF592
hsa-miR-940	LHFPL4
hsa-miR-940	VDR
hsa-miR-940	CBX5
hsa-miR-940	SLC25A45
hsa-miR-940	VCL
hsa-miR-940	HIATL1
hsa-miR-940	DEPTOR
hsa-miR-940	PTPN12
hsa-miR-940	PITPNM2
hsa-miR-940	DPF1
hsa-miR-940	PGAM1
hsa-miR-940	ARHGEF28
hsa-miR-940	KIAA1045
hsa-miR-940	ROBO2
hsa-miR-940	THY1
hsa-miR-940	PFKFB3
hsa-miR-940	HS2ST1
hsa-miR-940	SSH2
hsa-miR-940	EIF1AD
hsa-miR-940	CBX2
hsa-miR-940	KIAA1644
hsa-miR-940	SSR1
hsa-miR-940	SEMA3F
hsa-miR-940	DLST
hsa-miR-940	COL5A3
hsa-miR-940	CRAMP1L
hsa-miR-940	SHISA9
hsa-miR-940	RAB11FIP5
hsa-miR-940	PIGR
hsa-miR-940	ABCC5
hsa-miR-940	MAPK10
hsa-miR-940	PLCXD1
hsa-miR-940	TRIO
hsa-miR-940	TMEM167A
hsa-miR-940	UBIAD1
hsa-miR-940	SLC43A2
hsa-miR-940	CBL
hsa-miR-940	GIT2
hsa-miR-940	NR6A1
hsa-miR-940	RPS6KB1
hsa-miR-940	CELF4
hsa-miR-940	NCOA5
hsa-miR-940	GABBR2
hsa-miR-940	PDE2A
hsa-miR-940	MCUR1
hsa-miR-940	WDTC1
