SNP	gene	beta	t-stat	p-value	FDR
hsa-mir-429	CDK11B	4.06909041158288	5.39832470377464	9.83283099390318e-07	0.000197639902977454
hsa-mir-429	PRKCZ	2.4407727621756	5.16190166079567	2.43385159766518e-06	0.000244602085565351
hsa-mir-147b	MESP2	24.5208177257745	4.46428535289028	3.2132565949072e-05	0.00215288191858782
hsa-mir-429	MMEL1	0.580233320907022	3.8814292268764	0.000242521326645803	0.0121866966639516
hsa-mir-940	CREBBP	353.533825332237	3.76013994952549	0.000362594335578918	0.0145762922902725
hsa-mir-429	MIB2	2.01731922694311	3.61413544642416	0.000582991631269367	0.0195302196475238
hsa-mir-940	ZNF500	40.7191258069895	3.52552195429894	0.000773765682300623	0.0222181288774893
hsa-mir-429	NADK	3.6288447523596	3.43407256079969	0.00103197467134984	0.0241688067731104
hsa-mir-429	RER1	4.39576689732712	3.40050752934711	0.00114576587971246	0.0241688067731104
hsa-mir-429	CDK11A	2.48803321657534	3.38495349482115	0.00120242819766718	0.0241688067731104
hsa-mir-147b	WDR93	3.52223972373996	3.26717217650784	0.00172573205864422	0.031533831253408
hsa-mir-1291	CDK17	263.048093884731	3.1848472445157	0.00221153930405143	0.0370432833428614
hsa-mir-429	PANK4	0.673974897828808	3.14970763037642	0.00245569183139911	0.0379687737008631
hsa-mir-3687	HSPA13	61.0428908052338	3.11700767396768	0.0027053468471218	0.0388410511622488
hsa-mir-940	UBN1	198.11664137088	2.97252749644232	0.00411915134828802	0.0551966280670595
hsa-mir-940	MGRN1	296.387066105888	2.93923832653132	0.00453025827916662	0.0569113696320306
hsa-mir-1291	ELK3	223.577648825174	2.88636359187347	0.00526204918742411	0.0596913207329253
hsa-mir-429	SSU72	4.5901992544002	2.88077346963485	0.00534549140891868	0.0596913207329253
hsa-mir-940	TFAP4	107.46753148198	2.78945701843435	0.00689339447651938	0.0729248573568629
hsa-mir-940	CORO7	262.664684898948	2.7415516657904	0.00786109044263567	0.0790039589484885
hsa-mir-429	GNB1	9.16906330154336	2.67713884539368	0.00935858199857139	0.0893208020099863
hsa-mir-1976	CC2D1B	43.2546938338125	2.66085088536085	0.00977640619014776	0.0893208020099863
hsa-mir-147b	NGRN	392.816805713778	2.63194710704385	0.0105599270460393	0.0922845798371259
hsa-mir-429	SLC35E2	3.33724199106438	2.60458493019634	0.0113538603983787	0.0933961033259478
hsa-mir-3648	HSPA13	10.0130846712959	2.5959175392265	0.0116164307619338	0.0933961033259478
hsa-mir-484	PRSS8	216.188398765141	2.55954871788632	0.0127792974871009	0.0984039149064721
hsa-mir-147b	VPS33B	46.4591056190513	2.5465907070442	0.0132184363307201	0.0984039149064721
hsa-mir-147b	CIB1	554.405097810655	2.52602931435319	0.0139433066176156	0.100093022505026
hsa-mir-1976	CPT2	79.1908655580674	2.50918364691235	0.0145637220777265	0.100941659918035
hsa-mir-429	TNFRSF14	4.06669805907722	2.47577924445626	0.0158681066034236	0.106316314242938
hsa-mir-429	ATAD3A	2.55767354402248	2.438781129696	0.0174346625056709	0.113044102052898
hsa-mir-3917	ZFYVE9	77.9983843093931	2.40784850722018	0.0188493662170948	0.118397581551127
hsa-mir-484	ZNF688	5.9053182857556	2.3941814583778	0.0195065043374485	0.118812344600823
hsa-mir-147b	AP3S2	172.488261540126	2.33678460234421	0.0224951618154762	0.132986103673844
hsa-mir-3917	RAB3B	24.1268486722689	2.31796163230394	0.0235603956283767	0.133869606531046
hsa-mir-429	SKI	2.48383020023212	2.3078234576293	0.0241524933683505	0.133869606531046
hsa-mir-484	ZNF785	5.9824989252985	2.29959593571281	0.0246426638887995	0.133869606531046
hsa-mir-484	ORAI3	11.9737918881962	2.24413232319144	0.0281830572510698	0.146427303760562
hsa-mir-484	PRSS53	0.961043487564995	2.21660511027757	0.0301012454402226	0.146427303760562
hsa-mir-940	FAM86A	60.0068545700121	2.21233336475601	0.0304089823918047	0.146427303760562
hsa-mir-147b	MESP1	22.1333929522558	2.20243304377423	0.0311328504515565	0.146427303760562
hsa-mir-1291	AMDHD1	11.0852716133792	2.19668946196325	0.0315596920630872	0.146427303760562
hsa-mir-429	ATAD3B	1.41199867360218	2.19353177162564	0.0317965400245314	0.146427303760562
hsa-mir-940	ALG1	145.252975842465	2.19012604619713	0.0320537381366404	0.146427303760562
hsa-mir-1976	SCP2	192.302365237619	2.17262687662714	0.0334042227573714	0.149205528316259
hsa-mir-484	FBXL19	17.9636732544928	2.10487608923225	0.039113133255268	0.169085455307355
hsa-mir-940	NAGPA	49.9130126311321	2.09499757712705	0.040012668763969	0.169085455307355
hsa-mir-1976	NRD1	109.342324867464	2.09103389363502	0.0403786161928013	0.169085455307355
hsa-mir-23c	ATP6AP2	452.445585874268	2.08052787885369	0.0413626591597338	0.16967131614503
hsa-mir-484	ZNF668	5.43723168803279	2.02211605593378	0.0472209026212619	0.186707952149256
hsa-mir-940	CLUAP1	50.6997380839455	2.0206784456419	0.0473736595005576	0.186707952149256
