ID	Gene Name	Species	KEGG_PATHWAY
XRN2	5'-3' exoribonuclease 2(XRN2)	Homo sapiens	hsa03008:Ribosome biogenesis in eukaryotes,hsa03018:RNA degradation,
MTHFS	5,10-methenyltetrahydrofolate synthetase (5-formyltetrahydrofolate cyclo-ligase)(MTHFS)	Homo sapiens	hsa00670:One carbon pool by folate,hsa01100:Metabolic pathways,
PGLS	6-phosphogluconolactonase(PGLS)	Homo sapiens	hsa00030:Pentose phosphate pathway,hsa01100:Metabolic pathways,hsa01130:Biosynthesis of antibiotics,hsa01200:Carbon metabolism,
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens	hsa05010:Alzheimer's disease,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,
ADAM17	ADAM metallopeptidase domain 17(ADAM17)	Homo sapiens	hsa04330:Notch signaling pathway,hsa05010:Alzheimer's disease,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,
ALG2	ALG2, alpha-1,3/1,6-mannosyltransferase(ALG2)	Homo sapiens	hsa00510:N-Glycan biosynthesis,hsa01100:Metabolic pathways,
APC2	APC2, WNT signaling pathway regulator(APC2)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04390:Hippo signaling pathway,hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa04810:Regulation of actin cytoskeleton,hsa05166:HTLV-I infection,hsa05200:Pathways in cancer,hsa05206:MicroRNAs in cancer,hsa05210:Colorectal cancer,hsa05213:Endometrial cancer,hsa05217:Basal cell carcinoma,
ABCD1	ATP binding cassette subfamily D member 1(ABCD1)	Homo sapiens	hsa02010:ABC transporters,hsa04146:Peroxisome,
ABCD3	ATP binding cassette subfamily D member 3(ABCD3)	Homo sapiens	hsa02010:ABC transporters,hsa04146:Peroxisome,
ATP1B2	ATPase Na+/K+ transporting subunit beta 2(ATP1B2)	Homo sapiens	hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04260:Cardiac muscle contraction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04911:Insulin secretion,hsa04918:Thyroid hormone synthesis,hsa04919:Thyroid hormone signaling pathway,hsa04960:Aldosterone-regulated sodium reabsorption,hsa04961:Endocrine and other factor-regulated calcium reabsorption,hsa04964:Proximal tubule bicarbonate reclamation,hsa04970:Salivary secretion,hsa04971:Gastric acid secretion,hsa04972:Pancreatic secretion,hsa04973:Carbohydrate digestion and absorption,hsa04974:Protein digestion and absorption,hsa04976:Bile secretion,hsa04978:Mineral absorption,
ATRIP	ATR interacting protein(ATRIP)	Homo sapiens	hsa03460:Fanconi anemia pathway,
CD99	CD99 molecule(CD99)	Homo sapiens	hsa04514:Cell adhesion molecules (CAMs),hsa04670:Leukocyte transendothelial migration,
CXXC4	CXXC finger protein 4(CXXC4)	Homo sapiens	hsa04310:Wnt signaling pathway,
LIG3	DNA ligase 3(LIG3)	Homo sapiens	hsa03410:Base excision repair,
POLB	DNA polymerase beta(POLB)	Homo sapiens	hsa03410:Base excision repair,hsa05166:HTLV-I infection,hsa05203:Viral carcinogenesis,
POLI	DNA polymerase iota(POLI)	Homo sapiens	hsa03460:Fanconi anemia pathway,
EHD4	EH domain containing 4(EHD4)	Homo sapiens	hsa04144:Endocytosis,
ELOVL1	ELOVL fatty acid elongase 1(ELOVL1)	Homo sapiens	hsa00062:Fatty acid elongation,
EWSR1	EWS RNA binding protein 1(EWSR1)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
FXR2	FMR1 autosomal homolog 2(FXR2)	Homo sapiens	hsa03013:RNA transport,
FXYD2	FXYD domain containing ion transport regulator 2(FXYD2)	Homo sapiens	hsa04022:cGMP-PKG signaling pathway,hsa04024:cAMP signaling pathway,hsa04260:Cardiac muscle contraction,hsa04261:Adrenergic signaling in cardiomyocytes,hsa04911:Insulin secretion,hsa04918:Thyroid hormone synthesis,hsa04919:Thyroid hormone signaling pathway,hsa04960:Aldosterone-regulated sodium reabsorption,hsa04961:Endocrine and other factor-regulated calcium reabsorption,hsa04964:Proximal tubule bicarbonate reclamation,hsa04970:Salivary secretion,hsa04972:Pancreatic secretion,hsa04973:Carbohydrate digestion and absorption,hsa04974:Protein digestion and absorption,hsa04976:Bile secretion,hsa04978:Mineral absorption,
FANCI	Fanconi anemia complementation group I(FANCI)	Homo sapiens	hsa03460:Fanconi anemia pathway,
