ID	Gene Name	Species	KEGG_PATHWAY
ADAM10	ADAM metallopeptidase domain 10(ADAM10)	Homo sapiens	hsa05010:Alzheimer's disease,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,
AFF1	AF4/FMR2 family member 1(AFF1)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
ALS2	ALS2, alsin Rho guanine nucleotide exchange factor(ALS2)	Homo sapiens	hsa05014:Amyotrophic lateral sclerosis (ALS),
ASH1L	ASH1 like histone lysine methyltransferase(ASH1L)	Homo sapiens	hsa00310:Lysine degradation,hsa04530:Tight junction,
ABCC9	ATP binding cassette subfamily C member 9(ABCC9)	Homo sapiens	hsa02010:ABC transporters,
ABCD4	ATP binding cassette subfamily D member 4(ABCD4)	Homo sapiens	hsa02010:ABC transporters,hsa04146:Peroxisome,
BCL3	B-cell CLL/lymphoma 3(BCL3)	Homo sapiens	hsa04668:TNF signaling pathway,
BCL6	B-cell CLL/lymphoma 6(BCL6)	Homo sapiens	hsa04068:FoxO signaling pathway,hsa05202:Transcriptional misregulation in cancer,
BAG1	BCL2 associated athanogene 1(BAG1)	Homo sapiens	hsa04141:Protein processing in endoplasmic reticulum,
BMI1	BMI1 proto-oncogene, polycomb ring finger(BMI1)	Homo sapiens	hsa04550:Signaling pathways regulating pluripotency of stem cells,hsa05202:Transcriptional misregulation in cancer,hsa05206:MicroRNAs in cancer,
BRIP1	BRCA1 interacting protein C-terminal helicase 1(BRIP1)	Homo sapiens	hsa03460:Fanconi anemia pathway,
BRCA1	BRCA1, DNA repair associated(BRCA1)	Homo sapiens	hsa03460:Fanconi anemia pathway,hsa04120:Ubiquitin mediated proteolysis,hsa04151:PI3K-Akt signaling pathway,hsa05206:MicroRNAs in cancer,
BRCA2	BRCA2, DNA repair associated(BRCA2)	Homo sapiens	hsa03440:Homologous recombination,hsa03460:Fanconi anemia pathway,hsa05200:Pathways in cancer,hsa05212:Pancreatic cancer,
BTG1	BTG anti-proliferation factor 1(BTG1)	Homo sapiens	hsa03018:RNA degradation,
BTG2	BTG anti-proliferation factor 2(BTG2)	Homo sapiens	hsa03018:RNA degradation,
BTG3	BTG anti-proliferation factor 3(BTG3)	Homo sapiens	hsa03018:RNA degradation,
CCL18	C-C motif chemokine ligand 18(CCL18)	Homo sapiens	hsa04062:Chemokine signaling pathway,
CTBP1	C-terminal binding protein 1(CTBP1)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04330:Notch signaling pathway,hsa05200:Pathways in cancer,hsa05220:Chronic myeloid leukemia,
CTBP2	C-terminal binding protein 2(CTBP2)	Homo sapiens	hsa04310:Wnt signaling pathway,hsa04330:Notch signaling pathway,hsa05200:Pathways in cancer,hsa05220:Chronic myeloid leukemia,
CEBPB	CCAAT/enhancer binding protein beta(CEBPB)	Homo sapiens	hsa04668:TNF signaling pathway,hsa05152:Tuberculosis,hsa05202:Transcriptional misregulation in cancer,
CEBPE	CCAAT/enhancer binding protein epsilon(CEBPE)	Homo sapiens	hsa05202:Transcriptional misregulation in cancer,
CEBPG	CCAAT/enhancer binding protein gamma(CEBPG)	Homo sapiens	hsa05152:Tuberculosis,
CNOT6L	CCR4-NOT transcription complex subunit 6 like(CNOT6L)	Homo sapiens	hsa03018:RNA degradation,
CNOT7	CCR4-NOT transcription complex subunit 7(CNOT7)	Homo sapiens	hsa03018:RNA degradation,
COX17	COX17, cytochrome c oxidase copper chaperone(COX17)	Homo sapiens	hsa00190:Oxidative phosphorylation,hsa01100:Metabolic pathways,
CREBBP	CREB binding protein(CREBBP)	Homo sapiens	hsa04024:cAMP signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04068:FoxO signaling pathway,hsa04110:Cell cycle,hsa04310:Wnt signaling pathway,hsa04330:Notch signaling pathway,hsa04350:TGF-beta signaling pathway,hsa04520:Adherens junction,hsa04630:Jak-STAT signaling pathway,hsa04720:Long-term potentiation,hsa04916:Melanogenesis,hsa04919:Thyroid hormone signaling pathway,hsa04922:Glucagon signaling pathway,hsa05016:Huntington's disease,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05164:Influenza A,hsa05166:HTLV-I infection,hsa05168:Herpes simplex infection,hsa05169:Epstein-Barr virus infection,hsa05200:Pathways in cancer,hsa05203:Viral carcinogenesis,hsa05206:MicroRNAs in cancer,hsa05211:Renal cell carcinoma,hsa05215:Prostate cancer,
DDIT3	DNA damage inducible transcript 3(DDIT3)	Homo sapiens	hsa04010:MAPK signaling pathway,hsa04141:Protein processing in endoplasmic reticulum,hsa04932:Non-alcoholic fatty liver disease (NAFLD),hsa05202:Transcriptional misregulation in cancer,
DDIT4	DNA damage inducible transcript 4(DDIT4)	Homo sapiens	hsa04150:mTOR signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa05206:MicroRNAs in cancer,
LIG3	DNA ligase 3(LIG3)	Homo sapiens	hsa03410:Base excision repair,
